CAS number	chemical name	name IUPAC	merck index ref	literature ref	patent date	Launched date	FDA approved	code ATC	solubility	Additional info type	Additional info detail	blood brain barrier	administration	absorption tissue	protein binding	metabolism tissue	metabolism metabolite	daily dose	side effect name	target type	target name	therapeutic class name	therapeutic effect name	Structure [idcode]	Synonyms	T max	protein binding rate	bioavailability	half life time	absorption rate	distribution volume	
134-58-7	Azaguanine-8	5-Amino-3H-[1,2,3]triazolo[4,5-d]pyrimidin-7-ol	MI, 12, 928	Cancer Res. 1975 Oct 35(10):2872-8	08.09.1964			Not yet attributed	DMSO	Pharmacological tool												Oncology	Antineoplastic	dmMh@DkaePRYYe[iUjefh@@								
57-67-0	Sulfaguanidine	4-amino-N-[amino(imino)methyl]benzenesulfonamide	MI, 13, 8993	Contact Dermatitis. 2002 Mar 46(3):186-7	23.05.1950			A07AB03	DMSO	Chemical classification (according ATC code)	Sulfonamide		Oral					4000	Diarrhoea, Hepatic enzyme levels elevated, Hypersensitivity reactions, Nausea, Nephrotoxicity, Photosensitization			Infectiology, Metabolism	Antibacterial	dg\d`LF[a@BLddJbbQvfmPLA@@@								
31430-18-9	Nocodazole	Methyl (5-(2-thienylcarbonyl)-1H-benz-imidazole-2-YL-carbamate		Mol Cancer Ther. 2011 Oct 10(10):1886-96	10.06.1983			Not yet attributed	DMSO 10mg/mL										Diarrhoea, Skin dryness			Oncology	Antineoplastic	fj}qb@C^BqNPAFRJIRqISIYSDijsoUJpACTuD@@								
992-21-2	Lymecycline	(+)-N-(5-amino-5-carboxypentylaminomethyl)-4-dimethylamino-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxonaphtacene-2-carboxamide	MI, 13, 5648	Eur J Dermatol. 2003 Mar-Apr 13(2):130-5	24.02.1982	1992		J01AA04 		Chemical classification (according ATC code)	Tetracycline		Oral					600	Blurred vision, Diarrhoea, Headache, Hypersensitivity reactions, Intracranial hypertension, Nausea, Photosensitization			Metabolism	Antibacterial	emWRE@@EkhUPAC@djmcjV\bbbbbbbvfd|VbRbaJTTQRxtT|\JzFZAhJhjiijZjjZjbjNJMBKBBjNj@@		3 - 4			8 - 10			
23930-37-2	Alfadolone acetate	[2-[(3R,5S,8S,9S,10S,13S,14S,17S)-3-hydroxy-10,13-dimethyl-11-oxo-1,2,3,4,5,6,7,8,9,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate	MI, 13, 231	Anesthesiology. 1979 Apr 50(4):350-2	09.09.1987	Phase I		Not yet attributed														Central Nervous System	Anesthetic	fcAP@@UzM^QQQJQQQQ[SV[YQbm^BVNVjjjjjjZijhRDQTSIqJahV@@								
23930-19-0	Alfaxalone	(3R,5S,8S,9S,10S,13S,14S,17S)-17-acetyl-3-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-11-one	MI, 13, 233	Mol Pharmacol. 1980 Jul 18(1):144-7	09.09.1987			N01AX05		Therapeutic classification (according ATC code)	General anesthetic								Arrhythmia, Bradycardia, Dyspnea, Hypoxia, Seizure, Vomiting			Central Nervous System	Anesthetic	fa{A`@@U{dTTRdTTTVtufXkW`ecejjjjjjfjhRDQTSIqJahV@@								
13539-59-8	Azapropazone	5-(dimethylamino)-9-methyl-2-propylpyrazolo[1,2-a][1,2,4]benzotriazine-1,3-dione	MI, 13, 733	Curr Med Res Opin. 1976 4(1):3-16	24.10.1967	1970		M01AX04		Therapeutic classification (according ATC code)	NSAID		Oral	GI tract				750	Depression, Dizziness, Drowsiness, Epigastric misery, Haematuria, Headache, Hypersensitivity reactions, Insomnia, Photosensitization, Tinnitus			Central Nervous System, Metabolism	Analgesic, Anti-inflammatory	ffcH`@DDdhFlbbbbTRTtrUQFRmdkUULpU@UDLT@@								
59263-76-2	Meptazinol hydrochloride	3-(3-ethyl-1-methylazepan-3-yl)phenol hydrochloride	MI, 13, 5888	Drugs. 1985 Oct 30(4):285-312	09.04.1970	1983		N02AX05		Chemical classification (according ATC code)	Opioid							1200	Constipation, Diarrhoea, Dizziness, Drowsiness, Epigastric misery, Headache, Nausea, Rash, Sweat			Central Nervous System	Analgesic	fdiaB@CPADXDhdhYDdhf\}F@BjjjJ@j@@		0.4 - 1						
37321-09-8	Apramycin	(2R,3R,4R,5S,6R)-5-amino-2- [((1R,2R,3R,4R,6R,8R)-8-amino-9- [(1R,2S,3R,4R,6R)-4,6-diamino-2,3- dihydroxy-cyclohexyl]oxy-2-hydroxy- 3-methylamino-5,10- dioxabicyclo[4.4.0]dec-4-yl)oxy]-6- (hydroxymethyl)oxane-3,4-diol	MI, 13, 757	Vet Q. 2001 Apr 23(2):62-6	08.04.1975	1980		QJ01GB90		Veterinary use, Veterinary use, Veterinary use	Cattle, Rabbit, Swine		Oral	GI tract					Hypersensitivity reactions			Infectiology, Metabolism	Antibacterial	ejQZM@@AOLelPLECHfnmgdR\dTTRbbTltTRtnTrbfRXdLBJF~Ajjjjjjjjjjjjj`hD`bEPfEqMEXgHeAiMCe]OdB`@						0 - 5		
2105-43-3	Fursultiamine Hydrochloride	N-(4-Amino-2-methylpyrimidin-5-ylmethyl)-N-[4-hydroxy-1-methyl-2-[(tetrahydrofurfuryl)dithio]-1-butenyl]formamide monohydrochloride	MI, 13, 4332	Med Sci Monit. 2004 Sep 10(9):RA199-203	11.10.1966			Not yet attributed														Metabolism	Anti-Alzheimer	fm{Ic@AMzOWd`bHAB@c@heDheELddxhdPqGNijjjjXBBbGJHX`								
56974-61-9	Gabexate mesilate	ethyl 4-[6-(diaminomethylideneamino)hexanoyloxy]benzoate methanesulfonic acid	MI, 13, 4343	J Pharmacol Exp Ther. 2003 Apr 305(1):298-305	07.08.1973	1978		Not yet attributed	H2O, EtOH, CHCl3													Hematology, Metabolism	Anticoagulant	fc{qr@AkwAFJ\Bd@Qdd`ZbTRVrTrRRT]yZZ``JZji`@@								
33817-20-8	Pivampicillin	2,2-dimethylpropanoyloxymethyl (2S,5R,6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate	MI, 13, 7596	Lancet. 1989 Aug 26 2(8661):469-73	10.10.1972	1971		J01CA02		Chemical classification (according ATC code)	Penicillin with extended spectrum		Oral				Ampicillin, pivalic acid, formaldehyde	1050	Diarrhoea, Epigastric misery, Hypersensitivity reactions, Nausea, Rash			Infectiology, Metabolism	Antibacterial	e`T\FH@FELmCK@da`@cIEHhbeDmhmEhheiE`qqIm}UUULtuTCATTDHSB\RI@@					6			
41372-20-7	R(-) Apomorphine hydrochloride hemihydrate	(6aR)-6-Methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol hydrochloride hydrate	MI, 13, 751	Molecules. 2012 May 7 17(5):5289-309	20.02.1973	1951	Yes	N04BC07	H2O				Parenteral			Liver		20	Confusion, Fatigue, Nausea, Orthostatic hypotension, Pruritus, Sweat			Central Nervous System	Antiparkinsonian, Emetic	emWTJD@LnTAFcePHbBHpCJJJJJFHqE@jJJJJFHqEBPrspJKHjxFGDfgdVBH@bBj`b@H`jbHbP|fL@@					0.5			
1847-24-1	Flucloxacillin sodium	(2S,5R,6R)-6-[[3-(2-chloro-6-fluorophenyl)-5-methyl-1,2-oxazole-4-carbonyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate sodium	MI, 13, 4137	Med J Aust. 1999 Mar 15 170(6):270-3	22.12.1970	1971		J01CF05	H2O	Chemical classification (according ATC code)	Beta-lactamase resistant penicillin		Oral					2000	Diarrhoea, Hypersensitivity reactions, Nausea, Purpura, Rash			Infectiology, Metabolism	Antibacterial	eoh\JBDI@jmOBck`HcbPZBGmB{girJJIQRjYPjJKIJJA`SPsJkhZ@bFffjZjibiBIYH@								
15421-84-8	Trapidil	N,N-diethyl-5-methyl-[1,2,4]triazolo[1,5-a]pyrimidin-7-amine	MI, 13, 9650	Circulation. 1994 Dec 90(6):2710-5	01.02.1989	1979		C01DX11	H2O										Anorexia, Diarrhoea, Dizziness, Epigastric misery, Headache, Hepatic enzyme levels elevated, Nausea			Cardiovascular	Vasodilator	foAh@@@TYIVRJJKIFILxJSTsUUR@@								
2169-75-7	Deptropine citrate	3-(6,11-dihydro-5H-dibenzo[1,2-a:1',2'-e][7]annulen-11-yloxy)-8-methyl-8-azabicyclo[3.2.1]octane 2-hydroxypropane-1,2,3-tricarboxylic acid	MI, 13, 2929	Br J Dis Chest. 1977 Apr 71(2):101-4	11.01.1984			R06AX16										2	Anticholinergic effects, Blurred vision, Mouth dryness			Allergology, Cardiovascular, Respiratory	Antihistaminic, Bronchodilator, Vasodilator	efYXA@@@PDBIEMCKLbfdrTTCbbbbbRbTRbQLpNsqvOqLJKUULuUPAQAEPUAHCRY@@								
79617-96-2	Sertraline	(1S,4S)-4-(3,4-dichlorophenyl)-N-methyl-1,2,3,4-tetrahydronaphthalen-1-amine	MI, 13, 8541	Expert Opin Pharmacother. 2001 May 2(5):883-92	02.03.1983	1990	Yes	N06AB06	MeOH, DMSO				Oral		Plasmatic proteins	Liver	Desmethylsertraline	50	Diarrhoea, Dizziness, Drowsiness, Erectile dysfunction, Fatigue, Headache, Insomnia, Mouth dryness, Nausea	Carrier	Serotonin transporter	Central Nervous System	Antidepressant, CNS Stimulant	fbm`A@D`bBQFQQQYZJIQYEgK^CFB@jBHJHPJ^P@		4.5 - 8.4	98		26			
2624-44-4	Ethamsylate	2,5-dihydroxybenzenesulfonic acid N-ethylethanamine	MI, 13, 3757	Am J Ther. 2006 May-Jun 13(3):236-47	09.05.1962	1965		B02BX01					Oral	GI tract	Plasmatic proteins				Diarrhoea, Fever, Headache, Nausea, Rash			Cardiovascular, Hematology	Antiplatelet, Hemostatic	fhaaR@CPQcf`AFRRVJKHFIRTmA@UT@@@		4	95		8			
75438-57-2	Moxonidine	4-chloro-N-(4,5-dihydro-1H-imidazol-2-yl)-6-methoxy-2-methylpyrimidin-5-amine	MI, 13, 6318	Cardiovasc Ther. 2012 Aug 30(4):199-208	15.11.1978	1991		C02AC05					Oral	GI tract	Plasmatic proteins			0,3	Asthenia, Dizziness, Insomnia, Mouth dryness, Pruritus, Somnolence	Protein	Imidazoline i1 receptor	Cardiovascular	Antihypertensive	f`qiB@DTyhr`QFQQJJIFIIgG^`HJfjH@@			7	88	2.6 - 2.8	90	1.8	
534-87-2	Etilefrine hydrochloride	2-Ethylamino-1-(3-hydroxyphenyl)ethanol monohydrochloride	MI, 13, 3897	Urology. 2005 May 65(5):1002	06.01.1976	1957		C01CA01	H2O, EtOH				Oral		Albumin (8)			50	Anxiety, Facial flushing, Headache, Palpitations, Tachycardia			Cardiovascular	Vasoconstrictor	dgnD`MbPbLBTRTLrS]@AUTPI@@			23				2.1	
745-65-3	Alprostadil	7-[(1R,2R,3R)-3-hydroxy-2-[(E,3S)-3-hydroxyoct-1-enyl]-5-oxocyclopentyl]heptanoic acid	MI, 13, 7968	Expert Opin Pharmacother. 2008 Jun 9(8):1421-9	29.02.1972	1979	Yes	G04BE01					Parenteral		Plasmatic proteins	Lung	Inactive (15-oxo-13,14-dihydro-PGE1)	0,25	Hematoma, Priapism			Cardiovascular	Erectile dysfunction treatment, Vasodilator	fisAP@@R\wjSLjkkNjldXuUTuUUTuDQBIbMHR`			95		0.1			
10310-32-4	Tribenoside	(3R,4R,5R)-5-[1,2-bis(phenylmethoxy)ethyl]-2-ethoxy-4-phenylmethoxyoxolan-3-ol	MI, 13, 9682	Pharmacology. 1977 15(5):445-60	17.02.1981			C05CX01											Diarrhoea, Hypersensitivity reactions, Nausea			Cardiovascular		elVPF@@@LAIEOLdTTRRbrVRTTRRRbvQHhf^v~aQjjjjjj@H@@@H@aBDRbLH@								
14028-44-5	Amoxapine	8-chloro-6-piperazin-1-ylbenzo[b][1,4]benzoxazepine	MI, 12, 616	Drugs. 1982 Jul 24(1):1-23	16.05.1972	1980	Yes	N06AA17 	MeOH				Oral			Liver	Active (7-hydroxy-amoxapine, 8-hydroxy-amoxapine)	150	Blurred vision, Constipation, Drowsiness, Hot flushes, Mouth dryness, Orthostatic hypotension, Suicide, Weight gain			Central Nervous System	Antidepressant, Antipsychotic	ffsqB@ARJhDPdrmrljj}NZ]DnZpACUTTDA@@@					8 - 30			
49697-38-3	Rimexolone	(8S,9S,10R,11S,13S,14S,16R,17S)-11-hydroxy-10,13,16,17-tetramethyl-17-propanoyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one	MI, 13, 8310	Int Ophthalmol. 2008 Aug 28(4):281-5	21.01.1975	1995	Yes	H02AB12		Chemical classification (according ATC code)	Glucocorticoid		Topical					20	Blurred vision, Glaucoma, Headache, Occular irritation, Optic nerve damage, Photophobia	Nuclear receptor	Glucocorticoid receptor	Metabolism	Anti-inflammatory	fmoA`@@VGdTRTtRabrTRfTmFJMxJRmKUUUUUTuUBXaSTMOPLRbh@					1 - 2			
75695-93-1	Isradipine	3-O-methyl 5-O-propan-2-yl 4-(2,1,3-benzoxadiazol-4-yl)-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate	MI, 13, 5262	Drugs. 1995 Apr 49(4):618-49	21.08.1984	1989	Yes	C08CA03 		Chemical classification (according ATC code), New therapeutic use, Reference	Dihydropyridine derivatives, Antialzheimer, Biochim Biophys Acta. 2011 Dec 1812(12):1584-90		Oral	GI tract		Liver		5	Dizziness, Dyspnea, Facial flushing, Fatigue, Gingivitis, Headache, Oedema, Palpitations, Tachycardia, Urinary troubles	Ion channel	Voltage-gated L-type calcium channel	Cardiovascular	Antianginal, Antihypertensive	fmwqP@IEfAB\crJIQQQPyQJJHiSUfkGMjZjjifZiehLh@@			95	16 - 18	8.4	90 - 95	3.77	
7492-31-1	Isometheptene mucate	(2S,3R,4S,5R)-2,3,4,5-tetrahydroxyhexanedioic acid N,6-dimethylhept-5-en-2-amine	MI, 13, 5204	Expert Rev Neurother. 2012 Feb 12(2):159-67	11.06.1985	Withdrawn		A03AX10	H2O										Dizziness, Rash, Thrombosis			Cardiovascular	Antimigraine, Vasoconstrictor	ed_dA@@GA`DBFAECKLbfffff`LTvR`LTvRcUUUMUTuUTt@@@								
23256-30-6	Nifurtimox	(E)-N-(3-methyl-1,1-dioxo-1,4-thiazinan-4-yl)-1-(5-nitrofuran-2-yl)methanimine	MI, 13, 6566	J Pharm Sci. 2012 Mar 101(3):888-94	27.05.1964	1965		P01CC01		Chemical classification (according ATC code)	Nitrofuran derivative							700	Anorexia, Dizziness, Headache, Nausea			Metabolism		fleqRBNRCAAhi@DAeOYIHTileDehscoKUUMMSSBa@@								
112809-51-5	Letrozole	4-[(4-cyanophenyl)-(1,2,4-triazol-1-yl)methyl]benzonitrile	MI, 13, 5469	Oncologist. 2011 16(12):1762-70	16.09.1987	1996	Yes	L02BG04		Therapeutic classification (according ATC code)	Aromatase inhibitor		Oral		Albumin (55%)	Liver	Inactive	2,5	Arthralgia, Bone weakness, Fatigue, Hot flushes, Hypercholesterolemia, Nausea, Sweat, Thrombosis	Coenzyme	Cytochrome P450 19A1	Oncology	Antineoplastic	ffch@@@RtFnQJIKJJJIIGIgOASg`@jhE@l`@@		1 - 2	60	99	48		1.87	
497-76-7	Arbutin	(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-(4-hydroxyphenoxy)oxane-3,4,5-triol	MI, 13, 778	Phytomedicine. 2003 10 Suppl 4:58-60.	12.04.2004	Preclinical		Not yet attributed	H2O	New therapeutic use, Reference	Depigmentation treatment, J Cosmet Laser Ther. 2010 Jun 12(3):126-31											Infectiology, Metabolism	Antibacterial	fleAp@@XDkSdyHhheDeLUmRPXuUUTDAQRDQBJbd`@								
71395-14-7	Tocainide hydrochloride	2-amino-N-(2,6-dimethylphenyl)propanamide hydrochloride	MI, 13, 9568	Am Heart J. 1985 Oct 110(4):856-63	22.02.1973	1981	Yes	C01BB03		New therapeutic use, Reference, Therapeutic classification (according ATC code)	Anti-tinnitus, Clin Otolaryngol Allied Sci. 1985 Apr 10(2):97-101, Antiarrhythmic, class Ib	Yes	Oral	GI tract	Plasmatic proteins	Liver	Inactive	1200	Anorexia, Arthralgia, Bradycardia, Confusion, Diarrhoea, Hallucinations, Headache, Hypersensitivity reactions, Hypotension, Nausea, Paresthesia, Seizure, Tremor, Vertigo	LGIC	Voltage-gated sodium channel	Cardiovascular, Central Nervous System	Anesthetic, Antiarrhythmic	do]H`LZ@bLBTRbabbMvj`H``b@@			10		10 - 20			
5928-84-7	Benzathine benzylpenicillin	3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid N,N'-dibenzylethane-1,2-diamine	MI, 13, 7171	Lancet. 2012 Jan 28 379(9813):342-7	03.02.1953	1952	Yes	J01CE08 	H2O	Chemical classification (according ATC code)	Beta-lactamase sensitive penicillin		Oral		Plasmatic proteins	Low		3600	Diarrhoea, Hypersensitivity reactions, Nausea, Rash			Infectiology, Metabolism	Antibacterial	gdOE`hP@FBaxbC]mAbqxbXbUKeJ@A@pHrQRJHiQJsIQI@qRJHiQJsIQI@qIQII[QIXFGBPtz[GgrDz}SmpFCUUULsT@EUUTsMP@UPPQ@AQPCAALDxQYMd~P@@		12 - 24	40 - 60		336			
106266-06-2	Risperidone	3-{2-[4-(6-fluoro-1,2-benzisoxazol-3-yl)piperidino]ethyl}-6,7,8,9-tetrahydro-2-methylpyrido[1,2-a]pyrimidin-4-one	MI, 13, 8316	Adv Ther. 2009 Jun 26(6):588-99.	01.10.1986	1993	Yes	N05AX08					Oral		Albumin, alpha-1-acid glycoprotein	Liver	Active (9-hydroxy-risperidone)	5	Arthralgia, Blurred vision, Constipation, Dyspnea, Headache, Hypertension, Insomnia, Mouth dryness, Nausea, Nose bleed, Oedema, Rash, Sedation, Somnolence, Tachycardia, Upper respiratory tract infection, Urinary troubles, Weight gain			Central Nervous System	Antipsychotic	egdRDH@AOFnfJ`ICHhdieeDedeEEMBeQpIHyyuL]]@DUUUUKUUPs@@@		1 - 2	90	70	3 - 24		1 - 2	
969-33-5	Cyproheptadine hydrochloride	4-(5H-dibenzo [a,d]cyclohepten-5-ylidene)-1-methylpiperidine hydrochloride	MI, 12, 2842	Arch Gen Psychiatry. 1986 Feb 43(2):177-81	26.12.1961	1961	Yes	R06AX02					Oral	GI tract		Liver		12	Blurred vision, Confusion, Constipation, Dizziness, Memory loss, Motor incoordination, Mouth dryness, Mydriasis, Orthostatic hypotension, Palpitations, Sedation, Somnolence, Urinary troubles, Weight gain	GPCR	Histamine H1 receptor	Allergology, Central Nervous System	Antihistaminic, Antipruritic, Sedative	fns`B@H@bLBdRvTTTTRbqYsrXuJvjih@``BP@@		6 - 9			10 - 15			
56211-40-6	Torsemide	1-[4-(3-methylanilino)pyridin-3-yl]sulfonyl-3-propan-2-ylurea	MI, 13, 9629	Future Cardiol. 2012 Sep 8(5):707-28.	19.04.1977	1993	Yes	C03CA04		Chemical classification (according ATC code), Therapeutic classification (according ATC code)	Sulfonamide, High-ceiling diuretic		Oral					15	Dizziness, Drowsiness, Headache, Hypersensitivity reactions, Hypokalemia, Mouth dryness, Nausea	Carrier	Solute carrier family 12 member 1	Cardiovascular	Antihypertensive, Diuretic	fasIb@LRTZBA@BLddJbbbrVbeRaoUZmPMAQP@P@@@								
