mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
93.773705,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
147.95198,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
148.747986,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
148.96023,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
149.05854,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
149.30952,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
149.49113,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
154.200317,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
165.050537,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
189.06465,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
204.14103,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
310.12948,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
311.13848,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
331.09585,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
366.3842,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
367.19891,0,0,-4.689,0.116,-5.307,3.477,2.277,4.639,6.046,6.011,-1.619,0,0.2,0,1,0.8,0.8,0.8,1,1,0.8,0.6,1,0.8
