Structure [idcode]	Molecule Name	Name	Basic_pKa_greater5	Acidic_pKa_lower9	CNS-Kind	Molweight	cLogP	cLogS	cLogD (pH=7.4)	H-Acceptors	H-Donors	Total Surface Area	Molecular Flexibility	Molecular Complexity	Non-H Atoms	Binned Molweight	
el^^D@@DMCJfcg`MlbbbTRTjbRTTrNTrbRDdl\RjFfaQZkjfjiA`Ih@I``HP@	Compound 1	Acalabrutinib	4.63	14.51	non-CNS	465.516	2.6784	-7.187	2.6767	9	2	362.43	0.3404	0.94206	35	450 <= x < 475	
ec_XD`@@PLAEMG@dbfaecojYU]\dTTRbRfVbfffRftvJbTTrUDbWVusOMUUUUUUUUUUUMUUU@@@	Compound 2	Acarbose	7.03		non-CNS	645.605	-7.1771	0.586	-7.3319	19	14	419.26	0.54586	0.97272	44	625 <= x < 650	
dmvD@DATf^Uqej@B@@	Compound 3	Acetaminophen			CNS	151.164	1.0176	-1.662	1.0139	3	2	121.08	0.43027	0.58889	11	150 <= x < 175	
ek`\DH@NBidc`@cIEEEDdellhcDedjNIKMGAij@H@`jZjjjB@@@	Compound 4	Acetophenazine	7.78		CNS	411.568	3.4301	-4.111	2.6791	5	1	314.61	0.47543	0.84594	29	400 <= x < 425	
ehZXBDHBfMCE`@bPHJgIEEiCEDlXhddTdhdlJKGBjbfo`ZYjejjjjj`@fbCr`@	Compound 5	Aciclovir			non-CNS	484.659	0.9982	-4.201	0.99771	5	1	353.13	0.45125	0.88374	33	475 <= x < 500	
f`qi`@DTxIPC^rJIQQJiILyISUKMUU@@@	Compound 6	Aclidinium			non-CNS	225.207	-1.3295	-1.272	-1.3303	8	3	166.05	0.43428	0.77117	16	225 <= x < 250	
eobPL@@@DBdfyVuvUmiUyxDtLbRVNvnv^Z@@@`@jjjj@j@@@	Compound 7	Adapalene		3.99	non-CNS	412.527	6.0586	-8.047	2.6477	3	1	303.95	0.32088	0.85194	31	400 <= x < 425	
dev`@@rfeJY{ZxYBBJD@@	Compound 8	Adenine			non-CNS	135.130	-0.347	-2.269	-0.3506	5	2	102.23	0	0.78637	10	125 <= x < 150	
fnsir@CASUlDXIqU`^FRRXjIQYSQIYRuEIZmUUUU@`U@@@	Compound 9	Adenosine monophosphate		1.22	non-CNS	347.223	-5.1538	-0.745	-11.327	12	5	221.29	0.45091	0.88579	23	325 <= x < 350	
eohZKL@BaekghDLBNAIEMCODj`OBcpX|LddrtbdsTRbrfbRrbrfVNnZjZZjjjhDBh@@@	Compound 10	Adenosine triphosphate		0.89	non-CNS	507.181	-10.069	1.407	-14.939	18	7	301.53	0.61831	0.90348	31	500 <= x < 525	
fighB@AJSehHcHhdihdhideE]J\tzMTy`BFhJAXjH`@@	Compound 11	Adinazolam	6.27		CNS	351.840	1.8985	-5.066	1.8261	5	0	266.73	0.30653	0.88256	25	350 <= x < 375	
