Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
70.171921,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
70.367195,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
70.84397,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
71.776566,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
72.251167,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
73.75458,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
78.89943,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
78.91839,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
78.937012,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
80.831085,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
85.60508,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
87.608498,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
90.827179,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
91.53722,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
91.694847,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
94.503052,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
95.038841,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
96.783012,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
96.818245,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
100.25886,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.1875,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
101.60343,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
107.34462,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
119.476387,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
127.99081,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
127.993217,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
143.30072,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
144.940994,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
148.051834,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
157.930893,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
158.319427,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
165.940292,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
166.00676,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
188.931305,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
201.884369,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
201.96263,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
202.038193,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
202.859238,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
215.03862,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
222.12822,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
223.02832,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
223.033005,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
232.027954,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
236.3992,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
251.669174,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
272.059418,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
293.02359,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
296.358307,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
298.909241,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
300.671875,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
305.10937,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
308.037323,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
312.210968,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
337.933838,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
350.757385,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
350.9664,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
386.965302,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
446.247223,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
483.708984,0,0.111,-4.804,0.207,-5.034,2.284,1.081,4.284,5.602,5.187,-1.726,0,0,0,1,0.2,0.2,0,0.4,0.6,0.6,0,0.8,0.8
