mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,,lc50fm,lc50dm,,,,,,,,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
75.810188,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
78.770966,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
88.226799,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
93.014473,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
102.751106,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
104.686234,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
110.041191,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
113.020851,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
113.02253,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
120.560463,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
136.020569,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
155.240372,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
156.02677,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
158.21177,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
172.330139,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
173.952362,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
174.959961,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
179.98384,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
180.05658,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
186.881439,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
