Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
"73.0077,0",0.3,-4.276,0.396,-3.591,3.001,0.546,2.616,3.678,3.332,,-2.209,0,0.2,0,1,0,0.4,0,0,0,0,0,0.6,0.2
"74.352699,0",0.3,-4.276,0.396,-3.591,3.001,0.546,2.616,3.678,3.332,,-2.209,0,0.2,0,1,0,0.4,0,0,0,0,0,0.6,0.2
"74.530289,0",0.3,-4.276,0.396,-3.591,3.001,0.546,2.616,3.678,3.332,,-2.209,0,0.2,0,1,0,0.4,0,0,0,0,0,0.6,0.2
"76.778877,0",0.3,-4.276,0.396,-3.591,3.001,0.546,2.616,3.678,3.332,,-2.209,0,0.2,0,1,0,0.4,0,0,0,0,0,0.6,0.2
"76.89547,0",0.3,-4.276,0.396,-3.591,3.001,0.546,2.616,3.678,3.332,,-2.209,0,0.2,0,1,0,0.4,0,0,0,0,0,0.6,0.2
"78.580162,0",0.3,-4.276,0.396,-3.591,3.001,0.546,2.616,3.678,3.332,,-2.209,0,0.2,0,1,0,0.4,0,0,0,0,0,0.6,0.2
"78.96534,0",0.3,-4.276,0.396,-3.591,3.001,0.546,2.616,3.678,3.332,,-2.209,0,0.2,0,1,0,0.4,0,0,0,0,0,0.6,0.2
"81.375626,0",0.3,-4.276,0.396,-3.591,3.001,0.546,2.616,3.678,3.332,,-2.209,0,0.2,0,1,0,0.4,0,0,0,0,0,0.6,0.2
"86.988396,0",0.3,-4.276,0.396,-3.591,3.001,0.546,2.616,3.678,3.332,,-2.209,0,0.2,0,1,0,0.4,0,0,0,0,0,0.6,0.2
"92.927948,0",0.3,-4.276,0.396,-3.591,3.001,0.546,2.616,3.678,3.332,,-2.209,0,0.2,0,1,0,0.4,0,0,0,0,0,0.6,0.2
"92.995529,0",0.3,-4.276,0.396,-3.591,3.001,0.546,2.616,3.678,3.332,,-2.209,0,0.2,0,1,0,0.4,0,0,0,0,0,0.6,0.2
"94.626259,0",0.3,-4.276,0.396,-3.591,3.001,0.546,2.616,3.678,3.332,,-2.209,0,0.2,0,1,0,0.4,0,0,0,0,0,0.6,0.2
"94.924965,0",0.3,-4.276,0.396,-3.591,3.001,0.546,2.616,3.678,3.332,,-2.209,0,0.2,0,1,0,0.4,0,0,0,0,0,0.6,0.2
"94.99359,0",0.3,-4.276,0.396,-3.591,3.001,0.546,2.616,3.678,3.332,,-2.209,0,0.2,0,1,0,0.4,0,0,0,0,0,0.6,0.2
"96.976158,0",0.3,-4.276,0.396,-3.591,3.001,0.546,2.616,3.678,3.332,,-2.209,0,0.2,0,1,0,0.4,0,0,0,0,0,0.6,0.2
