Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
70.484657,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
72.398,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
78.6424,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
85.9992,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
91.12598,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
92.02494,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0248,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
96.68489,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
97.8534,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
98.3386,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
101.09223,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
105.75764,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
110.0122,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
110.981,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
111.00226,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
111.2302,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
113.0177,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
117.949,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
117.95242,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
119.036,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
122.03606,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
122.9895,0,0.333,-4.543,0.7,-1.592,0.954,0.44,2.805,3.482,3.651,-1.748,0,0,0,0,0,0,0,0,0,0,0,0,0
