Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,,lc50fm,lc50dm,,,,,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
72.27652,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
80.04277,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
83.558357,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
87.360497,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
93.5535,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
94.03261,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
101.14295,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
107.393723,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
108.358002,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
110.24353,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
118.108566,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
123.142632,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
126.90435,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
127.11983,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
127.65377,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
131.913498,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
133.420013,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
133.56546,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
133.946671,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
136.97052,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
137.026413,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
137.134155,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
