Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
72.044838,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,-0.378,0,0,0,0,0,0,0,0,0,0,0,0,0
76.03343,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,0.622,1,1,1,1,1,1,1,1,1,1,1,1,1
78.220329,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,1.622,2,2,2,2,2,2,2,2,2,2,2,2,2
78.539062,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,2.622,3,3,3,3,3,3,3,3,3,3,3,3,3
88.79551,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,3.622,4,4,4,4,4,4,4,4,4,4,4,4,4
89.476204,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,4.622,5,5,5,5,5,5,5,5,5,5,5,5,5
91.926003,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,5.622,6,6,6,6,6,6,6,6,6,6,6,6,6
92.050064,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,6.622,7,7,7,7,7,7,7,7,7,7,7,7,7
92.790001,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,7.622,8,8,8,8,8,8,8,8,8,8,8,8,8
97.448891,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,8.622,9,9,9,9,9,9,9,9,9,9,9,9,9
98.061066,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,9.622,10,10,10,10,10,10,10,10,10,10,10,10,10
99.112335,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,10.622,11,11,11,11,11,11,11,11,11,11,11,11,11
101.06861,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,11.622,12,12,12,12,12,12,12,12,12,12,12,12,12
108.0829,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,12.622,13,13,13,13,13,13,13,13,13,13,13,13,13
109.065331,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,13.622,14,14,14,14,14,14,14,14,14,14,14,14,14
109.82392,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,14.622,15,15,15,15,15,15,15,15,15,15,15,15,15
116.07174,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,15.622,16,16,16,16,16,16,16,16,16,16,16,16,16
116.07412,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,16.622,17,17,17,17,17,17,17,17,17,17,17,17,17
117.846771,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,17.622,18,18,18,18,18,18,18,18,18,18,18,18,18
123.001793,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,18.622,19,19,19,19,19,19,19,19,19,19,19,19,19
128.995926,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,19.622,20,20,20,20,20,20,20,20,20,20,20,20,20
129.484299,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,20.622,21,21,21,21,21,21,21,21,21,21,21,21,21
133.886871,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,21.622,22,22,22,22,22,22,22,22,22,22,22,22,22
136.515533,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,22.622,23,23,23,23,23,23,23,23,23,23,23,23,23
136.55336,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,23.622,24,24,24,24,24,24,24,24,24,24,24,24,24
137.799179,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,24.622,25,25,25,25,25,25,25,25,25,25,25,25,25
142.051178,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,25.622,26,26,26,26,26,26,26,26,26,26,26,26,26
142.418442,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,26.622,27,27,27,27,27,27,27,27,27,27,27,27,27
166.21794,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,27.622,28,28,28,28,28,28,28,28,28,28,28,28,28
166.993073,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,28.622,29,29,29,29,29,29,29,29,29,29,29,29,29
175.45219,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,29.622,30,30,30,30,30,30,30,30,30,30,30,30,30
194.987793,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,30.622,31,31,31,31,31,31,31,31,31,31,31,31,31
199.135468,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,31.622,32,32,32,32,32,32,32,32,32,32,32,32,32
214.99379,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,32.622,33,33,33,33,33,33,33,33,33,33,33,33,33
238.119476,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,33.622,34,34,34,34,34,34,34,34,34,34,34,34,34
259.231232,0,0.231,-4.504,0.44,-5.186,2.737,1.024,4.201,5.368,4.667,34.622,35,35,35,35,35,35,35,35,35,35,35,35,35
