"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL4574522";"";"0";"326.34";"0";"2.49";"2; Ex 4";"O=C1NC(=O)/C(=C/c2ccc(Sc3nc4ccccc4[nH]3)o2)N1";"IC50";"'='";"7500.0";"nM";"5.12";"";"";"UO_0000065";"15.70";"0.30";"2.63";"5.12";"0";"CHEMBL4418809";"Inhibition of Myc (unknown origin) expressed in HEK293T cells incubated for 16 hrs by firefly/renilla luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4418492";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4459178";"";"0";"368.42";"0";"3.61";"8; Ex 10";"CC(C)N1C(=O)N/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O";"IC50";"'='";"830.0";"nM";"6.08";"";"";"UO_0000065";"16.51";"0.32";"2.47";"6.67";"0";"CHEMBL4418809";"Inhibition of Myc (unknown origin) expressed in HEK293T cells incubated for 16 hrs by firefly/renilla luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4418492";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4564939";"";"0";"325.35";"0";"2.74";"9; Ex 11";"O=C1C/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C(=O)N1";"IC50";"'='";"9020.0";"nM";"5.04";"";"";"UO_0000065";"15.51";"0.30";"2.30";"5.73";"0";"CHEMBL4418809";"Inhibition of Myc (unknown origin) expressed in HEK293T cells incubated for 16 hrs by firefly/renilla luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4418492";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4437143";"";"0";"344.38";"0";"3.03";"10; Ex 12";"O=C1NC(=O)/C(=C/c2ccc(Sc3nc4cccnc4[nH]3)o2)S1";"IC50";"'='";"5600.0";"nM";"5.25";"";"";"UO_0000065";"15.25";"0.31";"2.22";"5.21";"0";"CHEMBL4418809";"Inhibition of Myc (unknown origin) expressed in HEK293T cells incubated for 16 hrs by firefly/renilla luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4418492";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4475974";"";"0";"429.48";"0";"3.90";"32; 33";"COC(=O)C(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O";"IC50";"'='";"2770.0";"nM";"5.56";"";"";"UO_0000065";"12.94";"0.26";"1.66";"5.27";"0";"CHEMBL4418809";"Inhibition of Myc (unknown origin) expressed in HEK293T cells incubated for 16 hrs by firefly/renilla luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4418492";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4518596";"";"0";"321.41";"0";"4.92";"45; Ex 36";"c1ccc(NCc2ccc(Sc3nc4ccccc4[nH]3)o2)cc1";"IC50";"'='";"4660.0";"nM";"5.33";"";"";"UO_0000065";"16.59";"0.32";"0.41";"9.90";"0";"CHEMBL4418809";"Inhibition of Myc (unknown origin) expressed in HEK293T cells incubated for 16 hrs by firefly/renilla luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4418492";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4573018";"";"0";"395.51";"1";"5.16";"64; Ex 2";"CC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)cc2)C1=O";"IC50";"'='";"1820.0";"nM";"5.74";"";"";"UO_0000065";"14.51";"0.29";"0.58";"8.69";"0";"CHEMBL4418809";"Inhibition of Myc (unknown origin) expressed in HEK293T cells incubated for 16 hrs by firefly/renilla luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4418492";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL1336889";"";"0";"300.23";"0";"2.57";"3q, JY-3-094";"O=C(O)c1ccc(Nc2ccc([N+](=O)[O-])c3nonc23)cc1";"IC50";"'='";"33000.0";"nM";"4.48";"";"";"UO_0000065";"14.93";"0.28";"1.91";"3.41";"0";"CHEMBL2318156";"Inhibition of recombinant His6-tagged c-Myc bHLH-ZIP domain (353 to 437 amino acid residues) (unknown origin) assessed as disruption of Myc-Max dimerization by electrophoretic mobility shift assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2311297";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"None";""
"CHEMBL1172104";"(Z)-3,4,3',5'-TETRAMETHOXYSTILBENE";"0";"300.35";"0";"3.89";"1";"COc1cc(/C=C\c2ccc(OC)c(OC)c2)cc(OC)c1";"IC50";"'='";"60000.0";"nM";"4.22";"";"";"UO_0000065";"14.06";"0.26";"0.33";"11.44";"0";"CHEMBL2353444";"Inhibition of Myc signaling pathway in human HeLa cells assessed as inhibition of PMA induced luciferase treated 30 mins before induction";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346506";"1";"Scientific Literature";"J. Nat. Prod.";"2013";"CHEMBL3308376";""
"CHEMBL2312756";"";"0";"332.32";"0";"4.54";"1, 10074-G5";"O=[N+]([O-])c1ccc(Nc2ccccc2-c2ccccc2)c2nonc12";"IC50";"'='";"146000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2318156";"Inhibition of recombinant His6-tagged c-Myc bHLH-ZIP domain (353 to 437 amino acid residues) (unknown origin) assessed as disruption of Myc-Max dimerization by electrophoretic mobility shift assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2311297";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"None";""
"CHEMBL165";"RESVERATROL";"3";"228.25";"0";"2.97";"4, (E)-resveratrol";"Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1";"IC50";"'='";"60000.0";"nM";"4.22";"";"";"UO_0000065";"18.50";"0.34";"1.25";"6.96";"0";"CHEMBL2353444";"Inhibition of Myc signaling pathway in human HeLa cells assessed as inhibition of PMA induced luciferase treated 30 mins before induction";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346506";"1";"Scientific Literature";"J. Nat. Prod.";"2013";"CHEMBL3308376";""
"CHEMBL4560741";"";"0";"518.67";"1";"4.17";"391";"COCCNCCC(=O)Nc1sc2c(c1-c1nc3ccc(-c4ccc(C#N)nc4)cc3s1)CCNC2";"IC50";"'<'";"300.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4566459";"";"0";"579.75";"2";"3.53";"396";"COCCNCCC(=O)Nc1sc2c(c1-c1nc3cc(-c4cnc(N5CCOCC5)nc4)ccc3s1)CCNC2";"IC50";"'<='";"300.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4555056";"";"0";"551.74";"2";"5.08";"400";"COCCNCCC(=O)Nc1sc2c(c1-c1nc3ccc(-c4ccc(OC(C)C)nc4)cc3s1)CCNC2";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4531606";"";"0";"531.71";"2";"5.08";"418";"COCCNCCC(=O)Nc1sc2c(c1-c1nc3cc(-c4ccc(C)c(C#N)c4)ccc3s1)CCNC2";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
