Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
71.027733,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
71.537651,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
73.040215,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
78.542358,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
79.402397,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
80.05011,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
80.236748,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
82.02936,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
82.065849,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
82.205826,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
84.609589,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
86.132095,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
88.951668,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
89.339272,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
90.426201,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
92.617485,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
94.010681,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
96.374969,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
98.06105,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
98.136162,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
100.053505,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
100.076767,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
107.061668,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
109.077179,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
110.061188,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
111.09269,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
115.974823,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
117.042122,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
121.077255,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
124.0644,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
126.32509,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
127.087761,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
127.980865,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
129.149963,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
132.287125,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
138.188187,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
139.087799,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
144.948044,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
155.09462,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
157.098145,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
171.08909,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
187.020874,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
200.998276,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
201.021927,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
201.0996,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
211.037918,0,0.857,-5.403,0.898,-0.927,0.083,0.239,2.108,3.28,3.428,-0.951,0,0,0,0.8,1,0.8,0.4,0,1,0,0.6,1,0.2
