Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
83.0484,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
84.02259,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
85.0297,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
97.06584,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
100.93327,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
105.823967,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
107.05236,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
108.290024,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
109.02982,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
110.03871,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
111.04521,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
113.0225,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
115.918167,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
116.9289,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
118.618073,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
121.022827,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
123.080002,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
125.06662,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
131.0837,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
133.33197,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
134.035446,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
135.03952,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
137.058182,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
145.102448,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
146.0698,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
147.1112,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
149.06607,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
149.09796,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
151.03942,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
153.052826,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
159.07972,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
161.058533,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
165.98182,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
169.10456,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
171.1167,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
183.117905,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
185.0571,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
185.106812,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
197.097488,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
199.123413,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
201.051956,0,0.78,-4.942,0.005,-5.822,4.268,1.886,5.215,5.808,6.244,0.992,0,0,1,0,0.8,0.4,0,0.6,1,0,0,1,1
