Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,,,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
70.4728,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
73.08701,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
75.760612,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
79.055069,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
80.35824,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
80.78769,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
81.034363,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
83.013634,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
83.05011,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
84.021606,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
84.045303,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
85.029388,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
85.03083,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
91.02807,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
93.0346,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
93.1874,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
94.56627,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
94.62168,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
95.0502,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
97.0296,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
97.065,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
104.26,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
104.7205,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
104.9129,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
105.5634,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
107.0503,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
108.0458,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
109.0297,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
110.0376,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
110.0614,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
111.0455,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
111.4916,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
111.764,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
112.9618,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
116.05099,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
116.879,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
121.02989,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
123.04547,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
124.07719,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
125.0609,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
126.056526,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
134.0615,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
135.0456,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
136.291138,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
137.061,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
139.3113,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
141.9873,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
143.0504,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
148.077,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
149.03184,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
152.0721,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
156.0184,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
157.06614,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
