Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
71.45307,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
71.554443,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
76.00654,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
77.0142,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
78.12657,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
82.61723,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
85.96514,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
87.4349,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
88.00653,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
101.7507,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
102.9489,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
103.03152,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
108.71342,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
113.0148,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
122.51379,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
126.02127,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
143.0054,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
144.9915,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
146.9389,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
148.79913,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
148.9912,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
150.0038,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
155.318848,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
162.156479,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
163.00891,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
163.0119,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
169.562,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
170.01,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
176.1048,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
180.998,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
182.01,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
182.0135,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
183.017,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
183.4325,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
186.9299,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
190.92869,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
198.9882,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
206.6284,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
