Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
93.4518,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
96.816017,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
131.315475,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
149.970917,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
162.584579,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
170.006256,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
179.135818,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
182.00441,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
183.018814,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
217.988495,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
235.938675,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
242.983215,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
243.990479,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
244.920349,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
245.98819,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
249.221024,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
249.960327,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
252.995941,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
253.987289,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
267.992706,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
277.957001,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
278.014679,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
278.989136,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
281.996643,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
287.96121,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
288.110107,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
317.275757,0,0.167,-4.715,0.319,-3.157,1.514,1.251,4.498,5.534,6.155,-1.027,0,0,0.6,0.8,1,0.2,0,0.2,0.8,0,0,0.6,0.8
