Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
71.488609,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
75.19306,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
75.756073,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
81.009056,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
82.3990028,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
95.646156,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
108.28009,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
112.773926,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
125.065948,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
129.00494,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
140.082657,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
144.127625,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
144.952179,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
146.022461,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
151.297333,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
153.8685,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
188.02681,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
204.467758,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
208.03299,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
222.037994,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
228.039719,0,0.222,-4.387,0.577,-1.193,0.835,0.42,2.171,4.208,4.677,,-1.95,0,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0
