Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
123.0476,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
130.992355,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
155.76814,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
184.581,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
201.0317,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
202.8171,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
204.3474,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
206.8704,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
222.1411,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
232.2087,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
237.44039,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
274.009,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
304.974,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
306.9737,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
311.17007,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
334.978,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
337.9652,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
339.9738,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
353.9364,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
353.9876,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
365.9375,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
366.956,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
368.9676,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
369.95,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
373.9583,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
377.9868,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
379.966,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
381.9874,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
385.94,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
386.958,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
392.991,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
397.978,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
415.94241,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
416.9558,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
426.578,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
426.9604,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
462.9458,0,0.154,-4.7540.088,-5.8384.501,2.112,5.284,7.153,6.759,,,,-0.914,0,0.8,0.6,1,1,0.2,0.8,0.8,1,0,0.6,1,1
