Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
70.7585,0,0.048,-5.995,0.032,-7.775,4.28,1.983,4.654,6.706,8.104,-1.739,0,0,0,0.8,0.4,0.4,0,1,0.8,0,0,1,0.8
71.311623,0,0.048,-5.995,0.032,-7.775,4.28,1.983,4.654,6.706,8.104,-1.739,0,0,0,0.8,0.4,0.4,0,1,0.8,0,0,1,0.8
76.018776,0,0.048,-5.995,0.032,-7.775,4.28,1.983,4.654,6.706,8.104,-1.739,0,0,0,0.8,0.4,0.4,0,1,0.8,0,0,1,0.8
82.707054,0,0.048,-5.995,0.032,-7.775,4.28,1.983,4.654,6.706,8.104,-1.739,0,0,0,0.8,0.4,0.4,0,1,0.8,0,0,1,0.8
85.69474,0,0.048,-5.995,0.032,-7.775,4.28,1.983,4.654,6.706,8.104,-1.739,0,0,0,0.8,0.4,0.4,0,1,0.8,0,0,1,0.8
88.390137,0,0.048,-5.995,0.032,-7.775,4.28,1.983,4.654,6.706,8.104,-1.739,0,0,0,0.8,0.4,0.4,0,1,0.8,0,0,1,0.8
91.927444,0,0.048,-5.995,0.032,-7.775,4.28,1.983,4.654,6.706,8.104,-1.739,0,0,0,0.8,0.4,0.4,0,1,0.8,0,0,1,0.8
93.014389,0,0.048,-5.995,0.032,-7.775,4.28,1.983,4.654,6.706,8.104,-1.739,0,0,0,0.8,0.4,0.4,0,1,0.8,0,0,1,0.8
95.013611,0,0.048,-5.995,0.032,-7.775,4.28,1.983,4.654,6.706,8.104,-1.739,0,0,0,0.8,0.4,0.4,0,1,0.8,0,0,1,0.8
103.17849,0,0.048,-5.995,0.032,-7.775,4.28,1.983,4.654,6.706,8.104,-1.739,0,0,0,0.8,0.4,0.4,0,1,0.8,0,0,1,0.8
104.014107,0,0.048,-5.995,0.032,-7.775,4.28,1.983,4.654,6.706,8.104,-1.739,0,0,0,0.8,0.4,0.4,0,1,0.8,0,0,1,0.8
111.819832,0,0.048,-5.995,0.032,-7.775,4.28,1.983,4.654,6.706,8.104,-1.739,0,0,0,0.8,0.4,0.4,0,1,0.8,0,0,1,0.8
113.02108,0,0.048,-5.995,0.032,-7.775,4.28,1.983,4.654,6.706,8.104,-1.739,0,0,0,0.8,0.4,0.4,0,1,0.8,0,0,1,0.8
113.023102,0,0.048,-5.995,0.032,-7.775,4.28,1.983,4.654,6.706,8.104,-1.739,0,0,0,0.8,0.4,0.4,0,1,0.8,0,0,1,0.8
119.372086,0,0.048,-5.995,0.032,-7.775,4.28,1.983,4.654,6.706,8.104,-1.739,0,0,0,0.8,0.4,0.4,0,1,0.8,0,0,1,0.8
