Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
74.122429,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
82.602074,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
92.034523,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
92.995468,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
94.994881,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
99.7733,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
103.477097,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
103.564011,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
111.945244,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
112.457047,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
113.998604,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
116.995888,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
121.980446,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
126.208969,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
127.138695,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
128.732925,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
130.992706,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
133.331604,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
138.016098,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
140.960709,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
140.996033,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
142.047501,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
142.992828,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
143.011475,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
144.991028,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
145.027466,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
146.002319,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
146.004761,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
146.585144,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
147.006485,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
149.975464,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
152.72612,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
154.047363,0,1.855,-4.345,0.325,-3.311,2.994,0.653,2.429,3.704,4.397,-2.026,0,0.4,0,0.8,0,0.6,0,0,0.2,0,0,0.6,0.4
