Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
71.217468,0,0.222,-4.499,0.489,-4.242,3.239,0.455,3.602,4.985,4.089,-0.89,0,0,0,0.4,0,0.8,0,0,0.6,0,0,0.8,0
77.039093,0,0.222,-4.499,0.489,-4.242,3.239,0.455,3.602,4.985,4.089,-0.89,0,0,0,0.4,0,0.8,0,0,0.6,0,0,0.8,0
77.574699,0,0.222,-4.499,0.489,-4.242,3.239,0.455,3.602,4.985,4.089,-0.89,0,0,0,0.4,0,0.8,0,0,0.6,0,0,0.8,0
78.74361,0,0.222,-4.499,0.489,-4.242,3.239,0.455,3.602,4.985,4.089,-0.89,0,0,0,0.4,0,0.8,0,0,0.6,0,0,0.8,0
80.986748,0,0.222,-4.499,0.489,-4.242,3.239,0.455,3.602,4.985,4.089,-0.89,0,0,0,0.4,0,0.8,0,0,0.6,0,0,0.8,0
82.51616,0,0.222,-4.499,0.489,-4.242,3.239,0.455,3.602,4.985,4.089,-0.89,0,0,0,0.4,0,0.8,0,0,0.6,0,0,0.8,0
84.80868,0,0.222,-4.499,0.489,-4.242,3.239,0.455,3.602,4.985,4.089,-0.89,0,0,0,0.4,0,0.8,0,0,0.6,0,0,0.8,0
100.54225,0,0.222,-4.499,0.489,-4.242,3.239,0.455,3.602,4.985,4.089,-0.89,0,0,0,0.4,0,0.8,0,0,0.6,0,0,0.8,0
105.248543,0,0.222,-4.499,0.489,-4.242,3.239,0.455,3.602,4.985,4.089,-0.89,0,0,0,0.4,0,0.8,0,0,0.6,0,0,0.8,0
109.415108,0,0.222,-4.499,0.489,-4.242,3.239,0.455,3.602,4.985,4.089,-0.89,0,0,0,0.4,0,0.8,0,0,0.6,0,0,0.8,0
109.79742,0,0.222,-4.499,0.489,-4.242,3.239,0.455,3.602,4.985,4.089,-0.89,0,0,0,0.4,0,0.8,0,0,0.6,0,0,0.8,0
110.387177,0,0.222,-4.499,0.489,-4.242,3.239,0.455,3.602,4.985,4.089,-0.89,0,0,0,0.4,0,0.8,0,0,0.6,0,0,0.8,0
111.000534,0,0.222,-4.499,0.489,-4.242,3.239,0.455,3.602,4.985,4.089,-0.89,0,0,0,0.4,0,0.8,0,0,0.6,0,0,0.8,0
117.007881,0,0.222,-4.499,0.489,-4.242,3.239,0.455,3.602,4.985,4.089,-0.89,0,0,0,0.4,0,0.8,0,0,0.6,0,0,0.8,0
