Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
72.532021,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
75.040512,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
77.03508,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
77.657074,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
85.534691,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
93.014267,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
94.994682,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
96.99041,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
109.601524,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
109.956924,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
110.041183,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
113.020851,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
114.214249,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
116.996803,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
124.254982,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
128.928162,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
136.020233,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
140.159714,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
142.121429,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
156.026749,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
157.025497,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
158.00386,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
160.449387,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
169.171036,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
173.951813,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
174.896851,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
174.90123,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
174.905624,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
174.959946,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
175.020874,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
175.653473,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
185.111771,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
185.9519,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
198.857819,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
199.954956,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
201.94693,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
210.013641,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
215.942322,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
233.26825,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
235.949112,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
240.998016,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
255.9551,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
258.000305,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
261.928314,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
275.961304,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
284.98782,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
293.977539,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
294.960907,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
300.947723,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
300.9563,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
301.99035,0,0.125,-5.77,3.022,-7.204,4.034,2.226,4.097,5.138,7.736,-1.614,0,0,0,0.8,0.2,0.2,0,0,0.4,0,0,0.8,0
