Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
89.1197,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
101.833733,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
124.08549,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
126.103798,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
126.26416,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
136.640427,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
139.751297,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
144.04361,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
145.025772,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
147.323715,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
151.09523,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
159.047073,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
164.045685,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
164.64952,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
169.018173,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
170.012665,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
176.892471,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
177.099213,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
183.041046,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
183.837372,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
186.054199,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
189.015671,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
193.144608,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
196.035873,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
196.092331,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
198.056,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
200.05992,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
201.09214,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
201.878967,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
202.112762,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
210.056259,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
213.31887,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
214.71792,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
220.06694,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
228.153992,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
232.991989,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
236.039032,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
236.907639,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
237.065659,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
237.10992,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
238.05992,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
240.099792,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
242.123978,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
247.111572,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
255.110855,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
263.066284,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
270.12851,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
276.133179,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
277.58105,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
293.583496,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
294.121368,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
295.059784,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
295.152466,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
295.711731,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
295.960846,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
296.138702,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
297.12899,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
298.056061,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
299.00216,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
299.29412,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
307.03805,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
315.073853,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
329.025299,0,0.28,-5.482,0.017,-7.115,3.982,1.171,4.893,6.187,6.819,-0.077,0,0,0.8,0.6,1,1,0.6,1,1,0.4,1,1,1
