Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
85.03424,0,0.812,-4.873,7.64,-5.493,3.976,1.796,5.149,6.447,7.382,2.505,0,0,1,0,0.4,0.2,0.4,0.6,1,0,0,1,1
100.933121,0,0.812,-4.873,7.64,-5.493,3.976,1.796,5.149,6.447,7.382,2.505,0,0,1,0,0.4,0.2,0.4,0.6,1,0,0,1,1
101.938957,0,0.812,-4.873,7.64,-5.493,3.976,1.796,5.149,6.447,7.382,2.505,0,0,1,0,0.4,0.2,0.4,0.6,1,0,0,1,1
109.029472,0,0.812,-4.873,7.64,-5.493,3.976,1.796,5.149,6.447,7.382,2.505,0,0,1,0,0.4,0.2,0.4,0.6,1,0,0,1,1
110.04029,0,0.812,-4.873,7.64,-5.493,3.976,1.796,5.149,6.447,7.382,2.505,0,0,1,0,0.4,0.2,0.4,0.6,1,0,0,1,1
113.0981,0,0.812,-4.873,7.64,-5.493,3.976,1.796,5.149,6.447,7.382,2.505,0,0,1,0,0.4,0.2,0.4,0.6,1,0,0,1,1
115.04928,0,0.812,-4.873,7.64,-5.493,3.976,1.796,5.149,6.447,7.382,2.505,0,0,1,0,0.4,0.2,0.4,0.6,1,0,0,1,1
120.8978,0,0.812,-4.873,7.64,-5.493,3.976,1.796,5.149,6.447,7.382,2.505,0,0,1,0,0.4,0.2,0.4,0.6,1,0,0,1,1
135.0391,0,0.812,-4.873,7.64,-5.493,3.976,1.796,5.149,6.447,7.382,2.505,0,0,1,0,0.4,0.2,0.4,0.6,1,0,0,1,1
173.0488,0,0.812,-4.873,7.64,-5.493,3.976,1.796,5.149,6.447,7.382,2.505,0,0,1,0,0.4,0.2,0.4,0.6,1,0,0,1,1
179.0669,0,0.812,-4.873,7.64,-5.493,3.976,1.796,5.149,6.447,7.382,2.505,0,0,1,0,0.4,0.2,0.4,0.6,1,0,0,1,1
185.1573,0,0.812,-4.873,7.64,-5.493,3.976,1.796,5.149,6.447,7.382,2.505,0,0,1,0,0.4,0.2,0.4,0.6,1,0,0,1,1
197.094,0,0.812,-4.873,7.64,-5.493,3.976,1.796,5.149,6.447,7.382,2.505,0,0,1,0,0.4,0.2,0.4,0.6,1,0,0,1,1
