Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
83.7429,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
102.032,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
112.098,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
112.5339,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
115.03,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
116.034,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
116.0601,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
117.044,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
137.017,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
141.0437,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
145.858,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
146.022,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
148.4851,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
149.258,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
153.889,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
156.7226,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
157.0238,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
163.9459,,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
165.3296,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
171.0429,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
171.687,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
174.1506,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
176.032,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
199.045,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
214.0648,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
218.0558,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
232.062,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
234.0667,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
242.0711,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
253.069,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
272.086,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
274.0903,0,0.125,-5.369,3.137,-6.796,4.519,2.164,4.959,6.446,7.507,,-1.566,0,0,0,1,0.4,0.6,0,1,0.4,0,0.2,1,1
