Structure [idcode]	MW	name	activity	activity_value	mode_of_action	receptor	receptor_class	reference	remarks	
egRxM@@O`DMHlnk`X]S\bbTTRTbbLtVRTTLRTQbRVJJ`UgcbUTrqvINHkTEAUQUUUTuUUUUQUTXQNHYGHdbeTeimCebaT@@	645.74316	Aconitin	LD50(mouse) i.v.<NL>LD50(mouse) i.p.<NL>LD50 (mouse) p.o.<NL>letal dose human	0.166 mg/kg<NL>0.328 mg/kg<NL>1.0 mg/kg<NL>1-10 mg/kg	agonist	TTX-sensitive Na+ channel		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.vetpharm.uzh.ch/reloader.htm?giftdb/pflanzen/0004_tox.htm?inhal<NL>t_c.htm<NL>en.wikivisual.com/index.php/Aconitine 	Origin: Aconitum-Species<NL>used for creating models of cardiac arrhythmia	
ekhPF@@@DCGAclbbVTTbbb\rTfRvHhdlBbJZVvZfjjjjjijjjdXWBDdd|dRrSRvP@	404.50107	Adonitoxigenin			Inhibitor	Na+/K+-ATPase		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.awl.ch/heilpflanzen/adonis_vernalis/index.htm 	Origin: Adonis Vernalis<NL>Used for Heart insuffiecience	
enSPE@@@DCGAcghZV\bbVTTbbb\rTfRvRbTTrHhdlBbJZVvQqZfjjjjjijjjjjjiqa\HRRSrQKIMKYWKy@iFXp@	550.64246	Adonitoxin	LD50(cat) i.v.	0.191 mg/kg	Inhibitor	Na+/K+-ATPase		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.awl.ch/heilpflanzen/adonis_vernalis/index.htm 	Origin: Adonis Vernalis	
goKT@L@@@BBpTZCMQiuF[]aty\~@dVHfRYln\bbTTVdTqTRbbTzbTrtfVdrvbTTRTReRbbfRbVfJ\^Nbpx|QXnPiLVH^JejZjjjjZijjjjjjjjjijjjjjjjjjjmaABDxgaQDlarOIBVJLdJUi^dFRYEeVVyGe^gyPTaUF\TiT@``	1131.2638	beta-Aescin	LD50 (rat) p.o.; i.p.<NL>LD50 (mouse) p.o.; ip<NL>LD50 (guinea pig) p.o.; i.p.	134 mg/kg; 1.4 mg/kg<NL>400 mg/kg; 2.0 mg/kg<NL>188 mg/kg; 7.2 mg/kg	cell growth inhibition	HT-29 human colon cancer cell line		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://mct.aacrjournals.org/cgi/content/full/5/6/1459 	Origin: Aesculus hippocastanum	
dkL@@DiUU]oiZZCJfi`	170.25417	Aethusin	LD50(mouse) p.o.	>100 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://de.wikipedia.org/wiki/Aethusin 	Origin: Aethusa cynapium	
feoQ`@GQ@cbSK[Jj{JzheF\gIZcfuMUUUST@U@QbEEHr@@	352.43256	Ajmalicin	TDLo(kid)	12.5 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://de.wikipedia.org/wiki/Ajmalicin 	Origin: Rauvolfia serpentina; catharanthus roseus<NL>Antiarrhythmikum	
fawP`@DVAgHhhhhieLXdmdrSEZ\{pTm{UUUUUU@ETGHSBHjIbDgH@	326.43845	Ajmalin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Rauvolfia serpentina<NL>Antiarrhythmikum	
ehTPA@@@AECBfcklbbbbbbVftJbafbTZXdzFZYjZjifijfj`@@	460.5211	Albaspidin	LD50(mouse) i.v	27.7 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS 	Origin: Dryopteris filix-mas	
diDHPD@H`HRiuYje`J@@	162.2764	Allicin	LD50(mouse) i.v. <NL>LD50(mouse) s.c.	60 mg/kg <NL>120 mg/kg	Activator	TRPA1; TRPV1	Nociceptor TRP	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://science.orf.at/science/news/135841	Origin: Allium sativum; Allium ursinum<NL>antifungal; antibiotic; anti-inflammatory	
fmoaP@L`\fl|bbbTRbRTRRTnQdXNXmRUhH`BbJhjbH@@	369.41562	alpha-Allocryptopin	LD50(mouse) p.o.	100 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Chelidonium majus; Sanguinaria canadensis	
