Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
71.15081,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
71.42556,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
73.421066,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
74.285843,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
79.407082,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
84.926048,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
84.969307,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
84.990303,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
85.010551,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
86.466293,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
87.558342,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
88.444153,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
90.432709,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
91.492584,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
92.137222,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
92.29471,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
93.014435,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
94.30793,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
100.39444,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
103.555786,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
105.281837,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
105.837868,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
109.412933,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
110.041183,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
113.021103,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
113.023094,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
116.271843,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
119.605927,0,0.176,-5.523,0.041,-7.118,4.188,2.143,3.928,4.282,7.813,-1.366,0,0,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.6,0.2
