Structure [idcode]	CAS	pKa	pKa-type	pKa-temp	logP	logP-type	logP-temp	mp	vp	vp-type	vp-temp	wSol mg/l	wSol-temp	Molweight	
fHb@@@	007440-59-7				2.800000000000000e-001	EXP		< -268				2.499000000000000e+000	21	4	
fHa@@@	007440-41-7				-5.700000000000000e-001	EST		986	4.240000000000000e-009	EST	25	1.489000000000000e+005	25	9	
fH@@	000074-82-8				1.090000000000000e+000	EXP		-182.4	4.657860000000000e+005	EXP	25	2.200000000000000e+001	25	16	
eDhXNi@@	001336-21-6				-2.660000000000000e+000	EST	25		2.159000000000000e+003	EXP	25	1.000000000000000e+006	25	17	
fJ@@	007664-41-7	9.250000000000000e+000	EXP	25	2.300000000000000e-001	EST	25	-77.7	7.508000000000000e+003	EXP	25	4.820000000000000e+005	24	17	
fI@@	007732-18-5				-1.380000000000000e+000	EXP		0	2.379000000000000e+001	EXP	25	1.000000000000000e+006	25	18	
eMIB`F@chFFXE`@	007789-20-0				-1.380000000000000e+000	EST		3.81	2.057000000000000e+001	EXP	25	1.000000000000000e+006	25	18	
fJRP@	014798-03-9				-4.370000000000000e+000	EST			1.660000000000000e-013	EST	25	1.020000000000000e+004	20	18	
fHb`@@	007440-01-9				2.800000000000000e-001	EXP			4.240000000000000e-009	EST	25	5.187000000000000e+004	25	20	
fHd`@@	007664-39-3	3.190000000000000e+000	EXP		2.300000000000000e-001	EST		-83.36	9.172000000000001e+002	EXP	25	9.220000000000000e+002	0	20	
fHv`d@	007440-23-5				-7.700000000000000e-001	EST		97.82	5.610000000000000e-016	EST	25	4.452000000000000e+005	25	23	
fHa`@@	007439-95-4				-5.700000000000000e-001	EST		651	4.240000000000000e-009	EST	25	3.253000000000000e+005	25	24	
eF`bzN@	000057-12-5				-6.900000000000000e-001	EST			3.080000000000000e+002	EST	25	9.540000000000000e+004	25	26	
eF@Hx@	000074-86-2				3.700000000000000e-001	EXP		-80.7	5.238000000000001e+003	EXP	25	1.200000000000000e+003	20	26	
eNbXrBWdG@	000151-50-8				-1.690000000000000e+000	EST		634	4.360000000000000e-007	EST	25	7.200000000000000e+005		26	
eNbXqCfTG@	000506-68-3				-2.900000000000000e-001	EST	25	52	1.215580000000000e+002	EXP	25	1.084000000000000e+005	25	26	
eNbXbCfTG@	000506-77-4				-3.800000000000000e-001	EST	25	-6.5	1.225000000000000e+003	EXP	25	6.000000000000000e+004	0	26	
eFAB`jBL@	001304-00-3				2.300000000000000e-001	EST			2.632000000000000e+004	EXT	25	6.650000000000000e+004	25	26	
eF`BN@	000074-90-8	9.199999999999999e+000			-2.500000000000000e-001	EXP		-13.4	7.419000000000000e+002	EXP	25	1.000000000000000e+006	25	27	
de@@UPlHtDtLtBdJdFdNdAdId@vIR\dnkf{nGix@@	015096-52-3											4.200000000000000e+002	25	27	
eF@Hh@	000074-85-1				1.130000000000000e+000	EXP		-169	5.213000000000001e+004	EXT	25	1.310000000000000e+002	25	28	
eFHPzfN@	000630-08-0				1.780000000000000e+000	EST		-205	1.550000000000000e+008	EXT	25			28	
eFPBc`@	007727-37-9				6.700000000000000e-001	EXP	25	-210.01				1.808400000000000e+004	21	28	
eFHBJ@	000050-00-0	1.327000000000000e+001	EXP	25	3.500000000000000e-001	EXP	25	-92	3.886000000000000e+003	EXT	25	4.000000000000000e+005	20	30	
eF@Hp@	000074-84-0				1.810000000000000e+000	EXP		-182.8	3.151999999999999e+004	EXP	25	6.020000000000000e+001	25	30	
eF`BL@	000074-89-5	1.062000000000000e+001	EXP		-5.700000000000000e-001	EXP		-93.4	2.650000000000000e+003	EXP	25	1.080000000000000e+006	25	31	
eFhHb`@	010102-43-9				1.000000000000000e-001	EST	25	-163.6	7.800000000000000e-009	EST	25	9.487000000000000e+004	25	31	
eFHBL@	000067-56-1	1.530000000000000e+001	EXP		-7.700000000000000e-001	EXP		-97.6	1.270000000000000e+002	EXP	25	1.000000000000000e+006	25	32	
eFPBc@@	000302-01-2	7.960000000000000e+000	EXP		-2.070000000000000e+000	EXP		2	1.438000000000000e+001	EXP	25	1.000000000000000e+006		32	
eNbXbCjTF@	000593-51-1				-3.820000000000000e+000	EST	25	227.5	1.010000000000000e-003	EST	25	1.000000000000000e+006	25	32	
eFDBb`@	007782-44-7				6.500000000000000e-001	EXP	25	-218.4				3.751800000000000e+004	21	32	
eFHBL@	030525-89-4	1.550000000000000e+001	EXP	25	-6.300000000000000e-001	EST	25	164 dec	1.055000000000000e+001	EXP	25	2.000000000000000e+005	18	32	
eFhHc@@	007803-49-8				-1.230000000000000e+000	EST		33	5.300000000000000e+001	EXP	32	1.000000000000000e-006	25	33	
