Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
71.990753,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
72.986,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
74.6704,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
75.7245,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
86.6421,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
87.1462,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
91.9272,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
92.643,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
98.9893,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
99.9972,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
100.024,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
102.9289,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
105.755,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
108.5279,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
109.666,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
110.036,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
111.1277,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
111.9975,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
114.0131,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
118.0411,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
119.024,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
120.0566,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
122.036,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
123.9975,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
125.006,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
