Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
70.003845,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
74.72536,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
77.6525,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
85.287811,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
85.999191,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
86.000511,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
86.484047,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
92.88565,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
93.43213,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
95.71251,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
96.275879,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
96.70945,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
98.925407,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
100.50356,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
101.941376,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
107.684593,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
109.037773,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
109.10098,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
110.905235,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
111.995857,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
117.045731,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
120.074455,0,0.2,-5.108,0.866,-3.017,0.154,0.427,2.387,3.943,3.717,-1.431,0,0,0,1,0,0,0,0,0,0,0.4,0,0
