Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
70.2422,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
72.31383,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
76.562538,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
80.0382,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
80.955841,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
92.99556,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
96.061867,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
103.682373,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
108.990814,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
111.996147,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
112.985802,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
114.23338,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
116.9959,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
118.20037,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
121.38207,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
123.439339,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
128.7212,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
128.9959,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
130.89753,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
141.091,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
142.99288,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
144.91659,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
146.82453,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
154.642,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
154.9929,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
155.986,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
166.993,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
169.0271,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
170.987,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
178.9928,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
186.999,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
190.1696,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
190.9931,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
192.9895,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
194.9879,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
197.002352,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
204.9893,0,0.167,-4.448,0.725,-2.239,2.684,0.831,3.31,3.549,4.489,-1.08,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
