Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
150.961197,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
174.005707,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
198.94819,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
199.949173,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
201.951874,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
206.544968,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
225.95764,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
231.004288,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
239.97377,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
244.964264,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
251.97789,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
256.00341,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
278.9776,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
305.98593,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
306.997101,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
308.996948,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
334.975586,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
364.968811,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
384.975494,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
385.966583,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
386.970795,0,0.273,-4.506,0.647,-2.706,0.098,0.885,2.587,4.057,4.584,,-1.909,0,0,0,0,0,0,0,0,0.2,0,0,0,0
