Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
75.62354,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
105.074944,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
129.14244,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
130.92689,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
148.275497,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
148.784241,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
148.90579,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
149.059143,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
150.0605,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
204.1392,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
294.1365,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
349.4652,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
349.62316,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
351.01605,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
351.20715,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
352.16799,0,0.364,-4.66,0.506,-5.556,4.095,0.718,3.976,5.143,4.319,-0.798,0,0,0,0.2,0,0.8,0,0,0.6,0,0,0.8,0
