Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
70.498665,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
73.007629,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
73.983109,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
77.169456,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
77.593979,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
86.825081,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
88.434479,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
93.014229,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
102.833138,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
103.805115,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
104.114792,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
106.080719,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
113.020836,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
113.022507,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
127.510056,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
132.034164,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
139.963959,0,0,-5.26,0.075,-7.535,3.711,2.222,4.079,4.736,7.825,-1.602,0,0.6,0,1,0,0.2,0,0.6,0.6,0,0,0.6,0.4
