Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
70.9664,,0,0,-4.899,0.57,-3.371,2.765,0.516,2.113,3.448,3.523,-1.318,0,0,0,1,0,0.2,0,0,0.4,0,0,0.8,0
70.96727,,0,0,-4.899,0.57,-3.371,2.765,0.516,2.113,3.448,3.523,-1.318,0,0,0,1,0,0.2,0,0,0.4,0,0,0.8,0
70.9828,,0,0,-4.899,0.57,-3.371,2.765,0.516,2.113,3.448,3.523,-1.318,0,0,0,1,0,0.2,0,0,0.4,0,0,0.8,0
70.984,,0,0,-4.899,0.57,-3.371,2.765,0.516,2.113,3.448,3.523,-1.318,0,0,0,1,0,0.2,0,0,0.4,0,0,0.8,0
71.9907,,0,0,-4.899,0.57,-3.371,2.765,0.516,2.113,3.448,3.523,-1.318,0,0,0,1,0,0.2,0,0,0.4,0,0,0.8,0
72.84088,,0,0,-4.899,0.57,-3.371,2.765,0.516,2.113,3.448,3.523,-1.318,0,0,0,1,0,0.2,0,0,0.4,0,0,0.8,0
74.8621,,0,0,-4.899,0.57,-3.371,2.765,0.516,2.113,3.448,3.523,-1.318,0,0,0,1,0,0.2,0,0,0.4,0,0,0.8,0
74.927628,,0,0,-4.899,0.57,-3.371,2.765,0.516,2.113,3.448,3.523,-1.318,0,0,0,1,0,0.2,0,0,0.4,0,0,0.8,0
76.529305,,0,0,-4.899,0.57,-3.371,2.765,0.516,2.113,3.448,3.523,-1.318,0,0,0,1,0,0.2,0,0,0.4,0,0,0.8,0
77.040993,,0,0,-4.899,0.57,-3.371,2.765,0.516,2.113,3.448,3.523,-1.318,0,0,0,1,0,0.2,0,0,0.4,0,0,0.8,0
79.420654,,0,0,-4.899,0.57,-3.371,2.765,0.516,2.113,3.448,3.523,-1.318,0,0,0,1,0,0.2,0,0,0.4,0,0,0.8,0
