Mz,pains,,fsp3,cacao,,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
72.178,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
72.33523,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
72.5466,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
73.37914,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
73.55145,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
73.8014,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
74.8859,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
75.0275,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
78.8558,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
79.52279,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
82.8955,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
85.1296,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
86.9864,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
87.31983,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
90.4802,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
92.9367,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
92.9956,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
93.8015,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
95.4138,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
101.0401,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
104.6948,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
108.9551,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
108.991,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
116.9961,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
117.04596,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
132.0568,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
132.0596,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
134.81663,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
139.2243,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
140.74978,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
148.96792,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
