Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
70.3027,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
70.63094,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
73.37842,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
75.11024,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
76.01549,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
77.43006,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
78.3357,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
84.75001,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
86.1624,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
89.3695,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
91.468521,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
91.604546,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
97.19888,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
98.19104,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
99.938492,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
101.49642,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
108.990799,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
118.232361,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
130.620239,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
138.983185,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
155.986084,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
159.380981,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
164.758972,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
166.9783,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
167.98623,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
174.95994,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
176.523972,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
180.9941,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
182.220261,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
182.973282,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
185.084991,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
187.9424,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
188.227539,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
191.996048,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
194.001831,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
195.009872,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
200.108551,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
201.94702,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
202.950455,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
207.009308,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
212.00228,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
212.07185,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
213.080231,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
213.215988,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
218.78288,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
219.99113,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
220.01744,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
221.02542,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
223.1199,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
228.103424,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
233.98806,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
234.20379,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
239.9968,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
248.04866,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
249.05671,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
256.09796,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
260.00293,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
263.96469,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
264.06845,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
264.07965,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
264.19265,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
266.89956,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
279.99023,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
280.010223,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
299.91665,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
299.98071,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
300.05706,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
300.19274,0,0.357,-4.481,0.697,-3.632,2.531,0.705,2.428,3.717,2.477,-0.817,0,0,0,0.8,1,0.4,0,0,0.4,0,0,0.6,0
