mz,pains,fsp3,cacao,,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
72.815125,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
73.359489,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
76.59541,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
79.027885,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
81.83853,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
84.99029,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
90.248634,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
93.969177,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
97.547714,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
106.029968,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
107.03775,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
107.199173,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
