Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties
CHEMBL151527;;0;320.39;0;2.03;Z-Leu-Ala-H;CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C=O;IC50;'=''';120;nM;6.92;;;UO_0000065;21.6;0.41;4.89;8.19;0;CHEMBL656195;Inhibitory activity evaluated against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1130294;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1997;None;
CHEMBL127322;;0;530.6;2;5.03;1g;CCOP(=O)(C(=O)[C@@H](CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)c1ccccc1;IC50;'=''';370;nM;6.43;;;UO_0000065;12.12;0.24;1.4;5.8;0;CHEMBL658527;inhibitory activity measured against recombinant human Calpain-I receptor;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1131587;1;Scientific Literature;J. Med. Chem.;1998;None;
CHEMBL150208;;0;491.59;0;2.41;Z-Leu-Glu-Leu-H;CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@@H](C=O)CC(C)C;IC50;'=''';1200;nM;5.92;;;UO_0000065;12.04;0.23;3.51;3.92;0;CHEMBL656195;Inhibitory activity evaluated against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1130294;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1997;None;
CHEMBL357503;;0;383.53;0;1.8;Ac-Leu-Leu-D-Leu-H;CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](C=O)CC(C)C;IC50;'=''';62;nM;7.21;;;UO_0000065;18.79;0.36;5.41;6.91;0;CHEMBL656195;Inhibitory activity evaluated against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1130294;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1997;None;
CHEMBL23226;;0;382.39;0;1.44;4;CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(CC(=O)O)C(=O)CF;IC50;'>''';10000;nM;;;;UO_0000065;;;;;0;CHEMBL657769;Compound was evaluated for its inhibitory activity against the Calpain 1 enzyme;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1147604;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2004;None;
CHEMBL150366;;0;456.59;0;2.48;Ac-Leu-Leu-Trp-H;CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12;IC50;'=''';150;nM;6.82;;;UO_0000065;14.95;0.28;4.34;5.68;0;CHEMBL656195;Inhibitory activity evaluated against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1130294;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1997;None;
CHEMBL1771024;;0;544.65;1;4.34;4g;CCCC/C(=C\c1ccc(O)c(O)c1)C(=O)N[C@@H](Cc1ccccc1)C(=O)C(=O)NCCc1ccc(OC)cc1;IC50;'=''';500;nM;6.3;;;UO_0000065;11.57;0.22;1.96;5.04;0;CHEMBL1771900;Inhibition of human erythrocytes mu-calpain using Suc-Leu-Tyr-AMC fluorogenic substrate after 30 mins by spectrofluorimetry;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1770073;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;None;
CHEMBL208986;;0;351.47;0;1.61;10;CC[C@H](C)[C@H](NC(=S)Nc1ccccc1)C(=O)N[C@H]1CCOC1O;IC50;'=''';600;nM;6.22;;;UO_0000065;17.7;0.35;4.61;7.53;0;CHEMBL863671;Inhibition of human erythrocyte mu calpain;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1138043;1;Scientific Literature;J. Med. Chem.;2006;None;
CHEMBL3706732;;0;441.55;0;3.26;6b;CC(C)C[C@H](NC(=O)c1ccc2c(c1)Nc1ccccc1S2)C(=O)N[C@H]1CCOC1O;IC50;'=''';22.5;nM;7.65;;;UO_0000065;17.32;0.34;4.39;7.67;0;CHEMBL654082;Inhibitory activity against on human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1146815;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2004;None;
CHEMBL332638;;0;508.6;1;2.75;15e;COc1cc2c(cc1OC)S(=O)(=O)N(Cc1ccccc1)C(C(=O)N[C@H](C=O)Cc1ccccc1)C2;IC50;'=''';1000;nM;6;;;UO_0000065;11.8;0.23;3.25;5.88;0;CHEMBL656196;Inhibitory activity towards human calpain I;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1134781;1;Scientific Literature;J. Med. Chem.;2001;None;
CHEMBL118688;;0;441.34;0;2.47;15h;CN1C(C(=O)N[C@H](C=O)Cc2ccccc2)Cc2cc(Cl)c(Cl)cc2S1(=O)=O;IC50;'=''';7;nM;8.15;;;UO_0000065;18.48;0.4;5.68;9.76;0;CHEMBL877099;Inhibitory activity towards human calpain I;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1134781;1;Scientific Literature;J. Med. Chem.;2001;None;
CHEMBL115963;;0;415.43;0;0.9;32b;O=C[C@H](Cc1ccccc1)NC(=O)C1=NS(=O)(=O)c2cc3c(cc2N1)OCCO3;IC50;'=''';28;nM;7.55;;;UO_0000065;18.18;0.36;6.65;6.13;0;CHEMBL877099;Inhibitory activity towards human calpain I;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1134781;1;Scientific Literature;J. Med. Chem.;2001;None;
CHEMBL172051;;0;386.49;0;2.2;20;CC(C)C[C@H](C=O)NC(=O)[C@H](C(C)C)N(C)S(=O)(=O)c1ccc(F)cc1;IC50;'=''';21000;nM;4.68;;;UO_0000065;12.1;0.25;2.48;5.6;0;CHEMBL744609;In vitro inhibition of porcine mu-calpain.;B;BAO_0000357;single protein format;Sus scrofa;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1145779;1;Scientific Literature;J. Med. Chem.;2003;None;
