mz	smiles	mw	alogp	hba	hbd	psa	rotb	arom	alerts	qed
162.9	CN[C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)N)N)N)O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O 	539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
170.2		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
181.4		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
198.9		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
201.6		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
202.6		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
209.4		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
217.5		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
235.6		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
271.4		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
323.1		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
330.4		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
343.2		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
344.3		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
361.3		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
362.5		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
378.5		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
379.5		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
523.6		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
540.6		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
541.2		539.583	-6.9493	16	11	283.64	6	0	0	0.1494055252
