molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,herg,hepatotox,ames,skin,dili
11,mirtazapine,212.0886,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4  ,265.36,2.4789,3,0,19.37,0,2,0,0.7292796247,,,,0,0.353,-4.447,,,,,,,,,-0.785,0,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0.894,0.91,0.376,0.451,0.494
,,225.1014,,265.36,2.4789,3,0,19.37,0,2,0,0.7292796247,,,,0,0.353,-4.447,,,,,,,,,-0.785,0,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0.894,0.91,0.376,0.451,0.494
,,226.1039,,265.36,2.4789,3,0,19.37,0,2,0,0.7292796247,,,,0,0.353,-4.447,,,,,,,,,-0.785,0,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0.894,0.91,0.376,0.451,0.494
,,239.1171,,265.36,2.4789,3,0,19.37,0,2,0,0.7292796247,,,,0,0.353,-4.447,,,,,,,,,-0.785,0,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0.894,0.91,0.376,0.451,0.494
,,251.1172,,265.36,2.4789,3,0,19.37,0,2,0,0.7292796247,,,,0,0.353,-4.447,,,,,,,,,-0.785,0,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0.894,0.91,0.376,0.451,0.494
,,252.1208,,265.36,2.4789,3,0,19.37,0,2,0,0.7292796247,,,,0,0.353,-4.447,,,,,,,,,-0.785,0,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0.894,0.91,0.376,0.451,0.494
,,282.1601,,265.36,2.4789,3,0,19.37,0,2,0,0.7292796247,,,,0,0.353,-4.447,,,,,,,,,-0.785,0,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0.894,0.91,0.376,0.451,0.494
,,283.1633,,265.36,2.4789,3,0,19.37,0,2,0,0.7292796247,,,,0,0.353,-4.447,,,,,,,,,-0.785,0,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0.894,0.91,0.376,0.451,0.494
,,284.1661,,265.36,2.4789,3,0,19.37,0,2,0,0.7292796247,,,,0,0.353,-4.447,,,,,,,,,-0.785,0,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0.894,0.91,0.376,0.451,0.494
,,121.064,,265.36,2.4789,3,0,19.37,0,2,0,0.7292796247,,,,0,0.353,-4.447,,,,,,,,,-0.785,0,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0.894,0.91,0.376,0.451,0.494
,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.785,0,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0.894,0.91,0.376,0.451,0.494
