molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,hepatotox,herg,hepatotox,ames,skin,dili
14,montelukast,157.1004,CC(C)(C1=CC=CC=C1CC[C@H](C2=CC=CC(=C2)/C=C/C3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,278.0726,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,279.0764,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,280.0701,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,292.0883,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,293.0922,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,294.0862,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,380.122,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,422.1674,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,423.1705,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,424.1653,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,425.168,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,440.1779,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,441.1809,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,442.1755,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,443.1778,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,456.1542,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,458.1531,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,524.2159,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,525.2204,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,526.2145,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,568.2076,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,569.2109,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,570.2059,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,571.2081,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,572.2051,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,586.2183,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,587.2215,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,588.2167,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,121.0638,,586.197,8.948,5,2,70.42,12,4,0,0.1843216031,,,,0,0.314,-4.795,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.214,0,0,0.4,0.8,0.6,1,0,1,1,1,0.6,1,0.8,0.91,0.854,0.91,0.222,0.321,0.202
