molecule number	FDA approved name	mz	smiles	mw	alogp	hba	hbd	psa	rotb	arom	alerts	qed
144	sulfasalazine	223.0496	C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O  	398.4	3.7016	6	3	141.31	6	3	1	0.540588
		241.0621		398.4	3.7016	6	3	141.31	6	3	1	0.540588
		257.0552		398.4	3.7016	6	3	141.31	6	3	1	0.540588
		305.0218		398.4	3.7016	6	3	141.31	6	3	1	0.540588
		315.0872		398.4	3.7016	6	3	141.31	6	3	1	0.540588
		317.1028		398.4	3.7016	6	3	141.31	6	3	1	0.540588
		333.0987		398.4	3.7016	6	3	141.31	6	3	1	0.540588
		335.1149		398.4	3.7016	6	3	141.31	6	3	1	0.540588
		381.0648		398.4	3.7016	6	3	141.31	6	3	1	0.540588
		399.0757		398.4	3.7016	6	3	141.31	6	3	1	0.540588
		109.061		398.4	3.7016	6	3	141.31	6	3	1	0.540588
