molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,herg,hepatotox,ames,skin,dili
15,Triamcinolone,131.0833,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O  ,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,135.0782,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,137.0591,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,141.0541,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,143.0844,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,147.0792,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,148.0841,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,151.0739,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,153.0894,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,155.0677,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,159.079,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,161.0605,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,161.0948,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,163.0741,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,171.0786,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,171.1162,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,172.0824,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,173.081,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,173.0942,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,179.0684,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,183.0789,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
,,185.0946,,394.439,0.6205,6,4,115.06,2,0,0,0.5459072136,,,,0,0.714,0.714,,,,,,,,,0,0,1,1,0,0.8,0.8,0,0,0.2,0,0,0.4,0,0.281,0.764,0.148,0.251,0.014
