molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
191,nitrendipin,255.0784, CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C  ,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,269.1032,,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,283.0707,,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,284.0766,,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,298.094,,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,301.0806,,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,315.0971,,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,316.1,,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,317.1017,,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,329.1128,,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,330.1159,,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,331.0916,,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,331.1183,,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,359.1229,,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,361.1388,,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,58.3,,360.366,2.5657,7,1,107.77,5,1,3,0.4882471812,,,,0,0.389,-4.687,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.236,0,0,0.4,1,0.8,0,0.8,0.6,0.6,0.8,0.8,1,0.8
