molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,herg
199,dexamethasone,109.1016,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,115.0761,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,119.086,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,121.0655,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,123.0809,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,125.0604,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,131.0861,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,133.0655,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,135.0809,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,137.0966,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,145.1013,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,147.081,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,148.0844,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,149.0965,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,151.0759,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,153.0917,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,155.0708,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,159.0808,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,161.0963,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,163.0752,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,165.0912,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,167.107,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
,,171.0807,,392.467,1.8957,5,3,94.83,2,0,0,0.667213497,,,,0,0.727,-4.888,,,,,,,,,2.225,0,1,1,0,0.8,0.4,0,0,0,0,0,0.6,0,0.32
