molecule number,FDA approved name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half life,logs,logd,bioconcen,igc50,lc50fm,lc50dm
200,gestoden,117.0689,CC[C@]12CC[C@H]3[C@H]([C@@H]1C=C[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34 ,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,119.0849,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,121.064,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,121.1003,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,123.0797,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,129.0691,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,131.0848,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,132.0885,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,133.0639,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,133.1003,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,135.0796,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,135.116,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,137.0951,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,141.0686,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,142.0757,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,143.0848,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,144.0893,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,145.0634,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,145.1001,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,146.1034,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,147.0793,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,147.1158,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,148.0837,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
