molecule number,FDA approved name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half life,logs,logd,bioconcen,igc50,lc50fm,lc50dm
207,mycophenolic acid,109.0645,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O  ,320.341,2.73322,6,2,93.06,6,1,2,0.618199692,,,,,,,,,,
,,135.0809,,320.341,2.73322,6,2,93.06,6,1,2,0.618199692,,,,,,,,,,
,,159.0412,,320.341,2.73322,6,2,93.06,6,1,2,0.618199692,,,,,,,,,,
,,195.0673,,320.341,2.73322,6,2,93.06,6,1,2,0.618199692,,,,,,,,,,
,,207.0639,,320.341,2.73322,6,2,93.06,6,1,2,0.618199692,,,,,,,,,,
,,207.1106,,320.341,2.73322,6,2,93.06,6,1,2,0.618199692,,,,,,,,,,
,,207.1315,,320.341,2.73322,6,2,93.06,6,1,2,0.618199692,,,,,,,,,,
,,223.0599,,320.341,2.73322,6,2,93.06,6,1,2,0.618199692,,,,,,,,,,
,,231.1293,,320.341,2.73322,6,2,93.06,6,1,2,0.618199692,,,,,,,,,,
,,275.1293,,320.341,2.73322,6,2,93.06,6,1,2,0.618199692,,,,,,,,,,
,,285.111,,320.341,2.73322,6,2,93.06,6,1,2,0.618199692,,,,,,,,,,
,,123.0798,,320.341,2.73322,6,2,93.06,6,1,2,0.618199692,,,,,,,,,,
