molecule number	FDA approved name	mz	smiles	mw	alogp	hba	hbd	psa	rotb	arom	alerts	qed
41	Efavirenz	168.0794	C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F  	315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		169.0821		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		188.0262		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		201.034		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		202.0398		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		203.0479		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		204.0364		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		205.0463		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		217.068		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		220.0125		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		222.0131		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		222.0525		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		223.0579		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		224.008		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		232.0126		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		232.0303		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		233.0131		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		234.0095		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		235.0584		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		236.0678		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		237.0751		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		238.0777		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		244.0129		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		245.016		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		246.0107		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		247.0133		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		250.0243		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		252.0176		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		252.0359		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		254.0381		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		263.0548		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		270.0294		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		272.045		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		278.0195		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		280.0163		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
		115.0543		315.678	4.0731	2	1	38.33	0	1	1	0.7328090954
