molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,herg,ld50
70,etofylline,96.0562,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCO,224.22,-1.574,4,1,82.05,2,2,0,0.6675301319,,,,0,0.444,-5.168,,,,,,,,,-1.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,2.559
,,113.0712,,224.22,-1.574,4,1,82.05,2,2,0,0.6675301319,,,,0,0.444,-5.168,,,,,,,,,-1.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,2.559
,,124.0507,,224.22,-1.574,4,1,82.05,2,2,0,0.6675301319,,,,0,0.444,-5.168,,,,,,,,,-1.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,2.559
,,137.0822,,224.22,-1.574,4,1,82.05,2,2,0,0.6675301319,,,,0,0.444,-5.168,,,,,,,,,-1.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,2.559
,,140.0818,,224.22,-1.574,4,1,82.05,2,2,0,0.6675301319,,,,0,0.444,-5.168,,,,,,,,,-1.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,2.559
,,143.0187,,224.22,-1.574,4,1,82.05,2,2,0,0.6675301319,,,,0,0.444,-5.168,,,,,,,,,-1.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,2.559
,,168.0766,,224.22,-1.574,4,1,82.05,2,2,0,0.6675301319,,,,0,0.444,-5.168,,,,,,,,,-1.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,2.559
,,181.0723,,224.22,-1.574,4,1,82.05,2,2,0,0.6675301319,,,,0,0.444,-5.168,,,,,,,,,-1.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,2.559
,,225.0983,,224.22,-1.574,4,1,82.05,2,2,0,0.6675301319,,,,0,0.444,-5.168,,,,,,,,,-1.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,2.559
,,178.0777,,224.22,-1.574,4,1,82.05,2,2,0,0.6675301319,,,,0,0.444,-5.168,,,,,,,,,-1.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,2.559
