molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,ld50
78,bestatin,81,CC(C)C[C@@H](C(=O)O)NC(=O)[C@H]([C@@H](CC1=CC=CC=C1)N)O ,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,86.2,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,105.1,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,114.9,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,116,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,120.2,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,121.2,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,123,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,129.2,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,129.9,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,132.1,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,135.8,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,144.3,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,150.3,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,150.6,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,164.9,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,172.4,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,173.4,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,174.3,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,179,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,190.3,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,195.5,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,196.2,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,197.2,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
,,203.2,,308.378,0.5328,5,4,112.65,8,1,0,0.5594935353,,,,0,0.5,-6.03,,,,,,,,,0.362,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,2.287
