compound,mw,,hba,,hbd,,rotb,,arom,,psa,,logp,,,,,
2,306.73764,306.235,1.5025018,1,1.5085593,1,1.4952995,2,2.506032,2,12.533072,12.03,5.6713943,5.1796,,,tp,163
3,410.99316,410.493,5.504505,5,0.49241108,0,0.49527392,4,3.4988964,3,64.65367,64.16,4.0892467,3.59042,,,tn,26
4,211.72281,211.221,5.490929,5,2.4975219,2,2.4990683,2,1.4887724,1,90.87054,90.37,-0.0038671757,-0.5046,,,fn,11
5,411.07974,410.583,5.494287,5,1.4834614,1,1.5037934,5,2.5004492,1,44.281544,43.78,5.47872,4.9764,,,fp,17
6,293.8227,293.322,4.502347,4,1.4929454,1,1.4983351,4,3.4942877,1,63.833817,63.33,4.532317,4.0258,,,,
7,211.7256,211.224,3.5033307,3,1.492956,1,1.5014459,1,2.4967456,2,70.04148,69.54,2.1154344,1.617,,,sensitivity,0.936781609195402
8,368.97595,368.474,6.497106,6,2.5000713,2,2.505309,8,0.510299,0,96.44032,95.94,2.4417462,1.9406,,,specificity,0.604651162790698
9,262.73312,262.225,4.497505,4,1.49,1,1.4935184,4,2.5021682,1,105.057655,104.57,0.30206192,-0.2035,,,accuracy,0.870967741935484
10,243.7241,243.219,7.5041957,7,4.496429,4,4.49874,2,1.5014852,1,131.32909,130.83,-2.0640063,-2.563,,,,
11,265.87225,265.36,3.5221667,3,0.48026937,0,0.49893942,0,2.4967856,2,19.85501,19.37,2.9669871,2.4789,,,,
12,277.90582,277.408,3.4993293,3,1.497492,1,1.4894587,5,1.5011313,1,33.203865,32.7,3.54073,3.0356,,,,
13,388.22574,387.719,2.5002725,2,0.4962938,0,0.49768937,6,3.4953794,3,27.546814,27.05,6.3658824,5.8629,,,,
14,586.6757,586.197,5.5100656,5,2.507291,2,2.491334,12,4.489199,4,70.938225,70.42,9.447856,8.948,,,,
15,394.93344,394.439,6.495951,6,4.504997,4,4.488213,2,0.5035762,0,115.55653,115.06,1.1258548,0.6205,,,,
16,136.6116,136.114,3.4944398,3,2.495126,2,2.5019243,0,2.5013,2,74.93179,74.43,0.14864059,-0.3538,,,,
17,293.87256,293.374,14.499983,14,0.5007427,0,0.49723768,4,2.497997,2,78.78698,78.29,3.4286883,2.92876,,,,
19,749.5165,558.65,14.515159,14,5.5077415,5,5.5007977,7,0.5055569,0,180.55733,111.79,2.399463,6.3136,,,,
20,430.86862,430.379,5.5019116,5,2.4929657,2,2.499634,5,2.5025923,2,107.760376,107.26,3.3805351,2.87958,,,,
21,310.88812,310.4,1.4891446,1,0.49541205,0,0.5021184,4,4.4974055,4,18.317518,17.82,5.690166,5.1878,,,,
22,310.91312,310.4,1.4856893,1,0.5041545,0,2.499087,4,4.485728,4,18.321177,17.82,5.6683016,5.1878,,,,
23,552.11206,551.625,10.494783,10,2.5017254,2,0.5005567,10,4.4999766,4,146.15468,145.65,4.70467,4.2039,,,,
24,194.69485,194.194,3.5019202,10,0.51571864,2,2.4963136,0,2.506985,2,62.31594,61.82,4.70467,-1.0293,,,,
25,440.96707,440.463,7.4934487,3,2.4968052,0,0.496442,7,5.4878626,5,119.30086,118.81,4.520107,4.0286,,,,
26,340.96527,340.463,3.487267,3,0.49436268,0,3.5031064,0,0.5021146,0,43.86551,43.37,4.8739924,4.3701,,,,
27,263.6979,263.2,6.506221,6,3.5057914,3,0.5004581,2,1.5049088,1,111.1038,110.6,-0.80146766,-1.2886,,,,
