Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
70.7867,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
72.976173,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
73.49305,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
73.515923,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
74.17305,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
75.004799,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
77.80809,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
82.050003,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
82.620819,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
82.860512,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
88.244919,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
89.454147,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
94.881096,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
94.917038,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
94.918587,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
94.993851,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
102.743492,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
106.645241,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
106.876747,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
109.907501,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
112.186974,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
112.985817,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
113.004906,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
115.000427,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
115.333664,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
116.995949,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
117.046104,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
117.763412,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
122.933907,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
125.587662,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
126.956421,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
133.029556,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
133.420456,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
133.435806,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
136.894592,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
138.90712,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
138.965378,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
141.046158,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
142.99292,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
142.995346,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
146.785355,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
154.053802,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
154.951416,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
154.992584,0,0,-4.692,0.802,-3.473,2.898,0.843,3.129,4.235,5.47,-1.522,0,0.8,0,1,0,0.8,0,0,0.8,1,0.2,0.2,0.2
