Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
70.5239,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
73.528587,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
75.132614,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
81.255981,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
83.094193,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
85.798286,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
85.799797,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
87.95192,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
92.65213,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
93.014374,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
108.926857,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
113.020821,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
117.129219,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
121.875069,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
122.42409,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
125.094437,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
126.751373,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
129.21817,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
130.992722,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
142.698105,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
145.891113,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
146.987488,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
153.04126,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
156.026733,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
165.26611,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
