Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
78.5657,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
80.555191,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
85.259598,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
85.964752,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
93.61978,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
96.819359,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
103.186424,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
104.954704,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
112.697258,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
118.455429,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
121.980431,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
123.995911,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
143.397552,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
149.975479,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
149.978531,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
152.465088,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
153.226852,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
159.920059,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
159.972839,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
160.002106,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
160.027054,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
166.598648,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
185.9519,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
187.967514,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
216.994354,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
227.856873,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
231.525848,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
243.581482,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
273.057068,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
273.17797,0,0.417,-4.271,0.243,-5.011,3.803,1.329,3.673,3.673,4.695,4.184,,,,,,,,,,,,,,
