Structure [idcode]	pKa	temp	method	type	group	basicOrAcidic	Row-ID	Neighbor Similarity OrgFunctions 96%	Neighbor Count	Neighbor	Neighbor Analysis X	Neighbor Analysis Y	
daD@P@BNdDfUzZ@B@@	6.35	32	mean from 2	a1/apparent	SH	acidic	1		0		0.029537478	-0.6880023	
daD@P@bFBDfUjz@H@@	5.76	25	mean from 2	a1/apparent	SH	acidic	2	1	1	3	0.8059224	0.16480407	
daD@P@bNBDfUzZ@B@@	5.82	25	mean from 2	a1/apparent		acidic	3	1	1	2	0.811518	0.18584521	
daD@P@qNBDfUzZ@B@@	5.8	40		a1/apparent	SH	acidic	4		0		0.59487987	0.7636232	
daD@`@BDeeVz`@@@	9.43	25	spectrophotometric	a1/apparent	S-H	acidic	5		0		-0.9300643	-0.26378343	
daD@`@BDfUzZ@B@@	6.47	25	mean from 2	a1/apparent		acidic	6	1	1	7764	-0.28325117	-0.8429449	
daDB@@RnrJIPdsUM@@	4.4	25	potentiometric	a2/apparent		acidic	7		0		-0.3621069	-0.90820545	
daDD@@IIfZfZZh@@	9.6	20	potentiometric	a/apparent		acidic	8	1	1	2766	0.64777553	0.30208457	
daDD@@IIfZfifh@@	9.11	30	potentiometric	a1/apparent	OH	acidic	9		0		0.2987259	-0.8679652	
daDD@@IIf]nZZh@@	10.3	20	potentiometric	a/apparent		acidic	10	1	1	7765	0.4355898	-0.15002398	
daDD@@IIf]n``@@@	9.33	27	mean from 15	a1/apparent		acidic	11	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	2782; 2781; 2768; 2767; 2764; 533; 531; 19; 18; 17; 15; 14	0.40011907	-0.57888037	
daDD@@QInUnZjh@@	4.99	25	potentiometric	a/thermodynamic		acidic	12	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	31	7767; 7609; 7608; 7603; 7491; 7333; 7329; 7228; 6032; 5455; 4167; 3724; 2771; 2715; 2575; 2570; 2276; 1947; 1944; 1836; 1389; 1382; 1381; 1377; 1297; 518; 356; 355; 354; 350; 343	-0.38778347	0.46832898	
daDD@@YIeZnZih@@	5.26	25	potentiometric	apparent		acidic	13	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	19	7768; 7611; 4180; 4060; 4059; 3255; 3185; 2765; 2583; 2581; 2580; 1842; 1841; 1835; 1396; 1390; 948; 358; 357	0.47655812	-0.14544661	
daDD@@YIeZn`B@@@	9.56	23	mean from 6	b2/apparent		acidic	14	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	2782; 2781; 2768; 2767; 2764; 533; 531; 19; 18; 11; 17; 15	0.39240453	-0.5407735	
daDD@@yIe^f`@`@@	9.93	23	mean from 6	a1/apparent		acidic	15	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	2782; 2781; 2768; 2767; 2764; 533; 531; 19; 18; 11; 17; 14	0.42749703	-0.527683	
daDD@@yIfVfZjX@@	5.83	20	potentiometric	a/apparent		acidic	16	1	1	2777	0.29729572	-0.9075912	
daDDB@HnRYg[hH@@@	11.56	27	mean from 10	a2/apparent		acidic	17	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	2782; 2781; 2768; 2767; 2764; 533; 531; 19; 18; 11; 14; 15	0.3793827	-0.5776682	
daDDB@YnRYVkh@`@@	11.32	30	potentiometric	1/thermodynamic		acidic	18	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	2782; 2781; 2768; 2767; 2764; 533; 531; 11; 19; 14; 15; 17	0.39303318	-0.5598445	
daDDB@{nRYWih@H@@	11.57	24	mean from 4	1/apparent		acidic	19	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	2782; 2781; 2768; 2767; 2764; 533; 531; 11; 14; 15; 17; 18	0.43729052	-0.56749123	
